taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,flag
Gracilaria pacifica,red turf,finely branching,red turf,red turf,turf,turf,turf,
Halosaccion glandiforme,red turf,sheet,red turf,red turf,turf,turf,turf,
Herposiphonia plumula,filament_turf,filament,red turf,red turf,turf,turf,turf,
Hildenbrandia,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hildenbrandia occidentalis,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hildenbrandia rubra,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hildenbrandia sp.,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hildenbrandia thick,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hildenbrandia transparent,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,
Hollenbergia subulata,filament,filament,filament,filament,filament,filament,thin_turf,
Hymenena sp.,red turf,sheet,red turf,red turf,turf,turf,turf,
Hymenena / Cryptopleura sp.,red turf,sheet,red turf,red turf,turf,turf,turf,
Hymenena setchellii,red turf,sheet,red turf,red turf,turf,turf,turf,
Hymenena spp.,red turf,sheet,red turf,red turf,turf,turf,turf,
Hymenena/Cryptopleura,red turf,sheet,red turf,red turf,turf,turf,turf,
Hymenena/Cryptopleura curly,red turf,sheet,red turf,red turf,turf,turf,turf,
Johansenia macmillanii,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,
Kornmannia leptoderma,blade,sheet,green blade,blade,green blade,blade,blade,
Laminaria setchellii,large_brown,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Laminaria yezoensis,large_brown,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
Leathesia marina,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,
Leptofauchea sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,
Leptofauscia,red turf,finely branching,red turf,red turf,turf,turf,turf,
Lithophyllum impressum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithophyllum sp.,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithophyllum sp. 1,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithophyllum sp. 2,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithophyllum sp. 8,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithothamnion glaciale,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithothamnion phymatodeon,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lithothamnion phymatodeum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,
Lomentaria hakodatensis,red turf,finely branching,red turf,red turf,turf,turf,turf,
Macrocystis pyrifera,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,
