taxon,taxon_corrected,kingdom,sessile,Life history
Codium fragile,Codium fragile,Algae,sessile,gametic
Codium setchelii,Codium setchellii,Algae,sessile,gametic
Codium setchellii,Codium setchellii,Algae,sessile,gametic
Collinsiella tuberculata,Collinsiella tuberculata,Algae,sessile,
Colonial Diatoms,Colonial Diatoms,Algae,sessile,
"Diatoms, colonial",Colonial Diatoms,Algae,sessile,
Diatoms,Colonial Diatoms,Algae,sessile,
Colpomenia bullosa,Colpomenia bullosa,Algae,sessile,
Colpomenia peregrina,Colpomenia peregrina,Algae,sessile,
Constantinea subulifera,Constantinea subulifera,Algae,sessile,
Corallina arbuscula,Corallina arbuscula,Algae,sessile,isomorphic sporic
Corallina frondescens,Corallina frondescens,Algae,sessile,isomorphic sporic
Corallina officianalis,Corallina officinalis,Algae,sessile,isomorphic sporic
Corallina officinalis,Corallina officinalis,Algae,sessile,isomorphic sporic
Corallina,Corallina sp.,Algae,sessile,isomorphic sporic
Corallina sp.,Corallina sp.,Algae,sessile,isomorphic sporic
Corallina sp. 2,Corallina sp.,Algae,sessile,isomorphic sporic
Corallina sp.1 california,Corallina sp.,Algae,sessile,isomorphic sporic
Corallina sp.2,Corallina sp.,Algae,sessile,isomorphic sporic
Corallina sp.1 frondescens,Corallina sp.1 frondescens,Algae,sessile,isomorphic sporic
Corallina sp.2 frondescens,Corallina sp.2 frondescens,Algae,sessile,isomorphic sporic
Corallina vancouveriensis,Corallina vancouveriensis,Algae,sessile,isomorphic sporic
"Corallina crust, unknown",Coralline crust,Algae,sessile,isomorphic sporic
"Coralline crust, unknown",Coralline crust,Algae,sessile,isomorphic sporic
Encrusting coralline,coralline crust,Algae,sessile,isomorphic sporic
Encrusting corallines,coralline crust,Algae,sessile,isomorphic sporic
Encrusting Corraline,coralline crust,Algae,sessile,isomorphic sporic
Unknown coralline crust,coralline crust,Algae,sessile,isomorphic sporic
Costaria costata,Costaria costata,Algae,sessile,heteromorphic sporic
Crusticorallina muricata,Crusticorallina muricata,Algae,sessile,isomorphic sporic
Crusticorallina muricatum,Crusticorallina muricata,Algae,sessile,isomorphic sporic
Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,
Cumathamnion decipiens,Cumathamnion decipiens,Algae,sessile,
Delesseria decipiens,Cumathamnion decipiens,Algae,sessile,
Desmarestia aculeata,Desmarestia aculeata,Algae,sessile,heteromorphic sporic
Desmarestia ligulata,Desmarestia ligulata,Algae,sessile,heteromorphic sporic
Dictyosiphon,Dictyosiphon foeniculaceus,Algae,sessile,
Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,Algae,sessile,
Dilsea,Dilsea californica,Algae,sessile,
Dilsea californica,Dilsea californica,Algae,sessile,
Ectocarpus commensalis,Ectocarpus commensalis,Algae,sessile,isomorphic sporic
Ectocarpus siliculosus,Ectocarpus siliculosus,Algae,sessile,isomorphic sporic
Ectocarpus,Ectocarpus sp.,Algae,sessile,isomorphic sporic
Egregia menziesii,Egregia menziesii,Algae,sessile,heteromorphic sporic
Elachista fucicola,Elachista fucicola,Algae,sessile,
Endocladia muricata,Endocladia muricata,Algae,sessile,
Erythrotrichia carnea,Erythrotrichia carnea,Algae,sessile,
Farlowia mollis,Farlowia mollis,Algae,sessile,
Fauchea sp.,Fauchea sp.,Algae,sessile,
Feldmannia irregularis,Feldmannia irregularis,Algae,sessile,
Frederikia sp.,Frederikia sp.,Algae,sessile,
Fucus distichus,Fucus distichus,Algae,sessile,gametic
Fucus distichus subsp. evanescens,Fucus distichus,Algae,sessile,gametic
Gelidium sp.,Gelidium sp.,Algae,sessile,
Gloiopeltis furcata,Gloiopeltis furcata,Algae,sessile,
Gracilaria pacifica,Gracilaria pacifica,Algae,sessile,
Halosaccion glandiforme,Halosaccion glandiforme,Algae,sessile,
Herposiphonia plumula,Herposiphonia plumula,Algae,sessile,
Hildenbrandia occidentalis,Hildenbrandia occidentalis,Algae,sessile,
Hildenbrandia thick,Hildenbrandia occidentalis,Algae,sessile,
Hildenbrandia rubra,Hildenbrandia rubra,Algae,sessile,
Hildenbrandia,Hildenbrandia sp.,Algae,sessile,
Hildenbrandia sp.,Hildenbrandia sp.,Algae,sessile,
Hildenbrandia transparent,Hildenbrandia sp.,Algae,sessile,
Hollenbergia subulata,Hollenbergia subulata,Algae,sessile,
Hymenena setchellii,Hymenena setchellii,Algae,sessile,
Cryptopleura,Hymenena sp.,Algae,sessile,
Hymenena / Cryptopleura sp.,Hymenena sp.,Algae,sessile,
Hymenena sp.,Hymenena sp.,Algae,sessile,
Hymenena/Cryptopleura,Hymenena sp.,Algae,sessile,
Hymenena/Cryptopleura curly,Hymenena sp.,Algae,sessile,
Nitophyllum dotyi,Hymenena sp.,Algae,sessile,
Nitophyllum dotyi ?,Hymenena sp.,Algae,sessile,
Nitophyllum sp.,Hymenena sp.,Algae,sessile,
Johansenia macmillanii,Johansenia macmillanii,Algae,sessile,
Kornmannia leptoderma,Kornmannia leptoderma,Algae,sessile,
Laminaria setchellii,Laminaria setchellii,Algae,sessile,
Laminaria yezoensis,Laminaria yezoensis,Algae,sessile,
Leathesia marina,Leathesia marina,Algae,sessile,
Leptofauchea sp.,Leptofauchea sp.,Algae,sessile,
Leptofauscia,Leptofauchea sp.,Algae,sessile,
Lithophyllum impressum,Lithophyllum impressum,Algae,sessile,isomorphic sporic
Lithophyllum sp.,Lithophyllum sp.,Algae,sessile,isomorphic sporic
Lithophyllum sp. 1,Lithophyllum sp. 1,Algae,sessile,isomorphic sporic
Lithophyllum sp.1,Lithophyllum sp. 1,Algae,sessile,isomorphic sporic
Lithophyllum sp. 2,Lithophyllum sp. 2,Algae,sessile,isomorphic sporic
Lithophyllum sp.2,Lithophyllum sp. 2,Algae,sessile,isomorphic sporic
Lithophyllum sp.8,Lithophyllum sp. 8,Algae,sessile,isomorphic sporic
Lithothamnion glaciale,Lithothamnion glaciale,Algae,sessile,isomorphic sporic
Lithothamnion phymatodeon,Lithothamnion phymatodeum,Algae,sessile,isomorphic sporic
Lithothamnion phymatodeum,Lithothamnion phymatodeum,Algae,sessile,isomorphic sporic
Lomentaria hakodatensis,Lomentaria hakodatensis,Algae,sessile,
Macrocystis pyrifera,Macrocystis pyrifera,Algae,sessile,heteromorphic sporic
Mastocarpus agardhii,Mastocarpus agardhii,Algae,sessile,heteromorphic sporic
Mastocarpus alaskensis,Mastocarpus alaskensis,Algae,sessile,heteromorphic sporic
Mastocarpus intermedius,Mastocarpus intermedius,Algae,sessile,heteromorphic sporic
Mastocarpus latissimus,Mastocarpus latissimus,Algae,sessile,heteromorphic sporic
Mazzaella latissimus,Mastocarpus latissimus,Algae,sessile,heteromorphic sporic
Mastocarpus pachenicus,Mastocarpus pachenicus,Algae,sessile,heteromorphic sporic
Mastocarpus rigidus,Mastocarpus rigidus,Algae,sessile,heteromorphic sporic
Mastocarpus sp,Mastocarpus sp,Algae,sessile,heteromorphic sporic
Mastocarpus sp.,Mastocarpus sp,Algae,sessile,heteromorphic sporic
Mastocarpus spp,Mastocarpus sp,Algae,sessile,heteromorphic sporic
Mazzaella oregona,Mazzaella oregona,Algae,sessile,isomorphic sporic
Mazzaella cf. parksii,Mazzaella parksii,Algae,sessile,isomorphic sporic
Mazzaella parksii,Mazzaella parksii,Algae,sessile,isomorphic sporic
Mazzaella cf. parvula,Mazzaella parvula,Algae,sessile,isomorphic sporic
Mazzaella parvula,Mazzaella parvula,Algae,sessile,isomorphic sporic
Mazzaella rigidus,Mazzaella rigidus,Algae,sessile,isomorphic sporic
Mazzaella splendens,Mazzaella splendens,Algae,sessile,isomorphic sporic
Melanosiphon intestinalis,Melanosiphon intestinalis,Algae,sessile,
Melobesia,Melobesia sp.,Algae,sessile,isomorphic sporic
Melobesia mediocris,Melobesia sp.,Algae,sessile,isomorphic sporic
Melobesia sp,Melobesia sp.,Algae,sessile,isomorphic sporic
Mesophyllum vancouveriense,Mesophyllum vancouveriense,Algae,sessile,isomorphic sporic
Microcladia borealis,Microcladia borealis,Algae,sessile,
Monostroma grevillei,Monostroma grevillei,Algae,sessile,
Nemalion,Nemalion helminthoides,Algae,sessile,
Nemalion helminthoides,Nemalion helminthoides,Algae,sessile,
Agarum fimbriatum,Neoagarum fimbriatum,Algae,sessile,heteromorphic sporic
Neodilsea borealis,Neodilsea borealis,Algae,sessile,
Neodilsia borealis,Neodilsea borealis,Algae,sessile,
Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,Algae,sessile,
Clathromorphum Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,isomorphic sporic
Clathromorphum reclinatum,Neopolyporolithon reclinatum,Algae,sessile,isomorphic sporic
Clathromorphum reclunatum,Neopolyporolithon reclinatum,Algae,sessile,isomorphic sporic
Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,Algae,sessile,isomorphic sporic
Neorhodomela aculeata,Neorhodomela aculeata,Algae,sessile,
Neorhodomela larix,Neorhodomela larix,Algae,sessile,
Neorhodomela oregona,Neorhodomela oregona,Algae,sessile,
Neorhodomela oregona?,Neorhodomela oregona,Algae,sessile,
Nereocystis luetkeana,Nereocystis luetkeana,Algae,sessile,
Odonthalia floccosa,Odonthalia floccosa,Algae,sessile,
Odonthalia floccosa f. comosa,Odonthalia floccosa f. comosa,Algae,sessile,
Opuntiella californica,Opuntiella californica,Algae,sessile,
Osmundea spectabilis,Osmundea spectabilis,Algae,sessile,
Palmaria hecatensis,Palmaria hecatensis,Algae,sessile,
Palmaria mollis,Palmaria mollis,Algae,sessile,
Petalonia,Petalonia fascia,Algae,sessile,
Petalonia fascia,Petalonia fascia,Algae,sessile,
Petrocelis,Petrocelis,Algae,sessile,
Petrocelis thick,Petrocelis,Algae,sessile,
Petrocelis thin,Petrocelis,Algae,sessile,
Peyssonnelia,Peyssonnelia sp.,Algae,sessile,
Peyssonnelia sp.,Peyssonnelia sp.,Algae,sessile,
Phycodrys fimbriata ?,Phycodrys sp.,Algae,sessile,
Phycodrys?,Phycodrys sp.,Algae,sessile,
Phyllospadix scouleri,Phyllospadix scouleri,Algae,sessile,
Phyllospadix serrulatus,Phyllospadix serrulatus,Algae,sessile,
Phyllospadix,Phyllospadix sp.,Algae,sessile,
Pleonosporium vancouverianum,Pleonosporium vancouverianum,Algae,sessile,
Plocamium pacificum,Plocamium pacificum,Algae,sessile,
Plocamium violaceum,Plocamium violaceum,Algae,sessile,
Polyneura latissima,Polyneura latissima,Algae,sessile,
Polysiphonia brodiei,Polysiphonia brodiei,Algae,sessile,
Polysiphonia hendryi,Polysiphonia hendryi,Algae,sessile,
Polysiphonia hendryi var. garderi,Polysiphonia hendryi var. garderi,Algae,sessile,
Polysiphonia hendryi var. gardneri,Polysiphonia hendryi var. gardneri,Algae,sessile,
Polysiphonia hendryi var. hendryi,Polysiphonia hendryi var. hendryi,Algae,sessile,
Polysiphonia hendryi var. luxuriens,Polysiphonia hendryi var. luxuriens,Algae,sessile,
Polsiphonia pacifica,Polysiphonia pacifica,Algae,sessile,
Polysiphonia pacifica,Polysiphonia pacifica,Algae,sessile,
Polysiphonia pacifica? turf,Polysiphonia pacifica,Algae,sessile,
Polysiphonia pacifica var delicatula,Polysiphonia pacifica var delicatula,Algae,sessile,
Polysiphonia paniculata,Polysiphonia paniculata,Algae,sessile,
Polysiphonia,Polysiphonia sp.,Algae,sessile,
Polysiphonia sp.,Polysiphonia sp.,Algae,sessile,
Polysiphonia spp,Polysiphonia sp.,Algae,sessile,
Polysiphonia stricta / senticulosa,Polysiphonia sp.,Algae,sessile,
Prionitis sternbergii lanceolata,Prionitis sp.,Algae,sessile,
Prionitis?,Prionitis sp.,Algae,sessile,
Prionitis sternbergii,Prionitis sternbergii,Algae,sessile,
Pseudlolithophyllum muricatum,Pseudolithophyllum muricatum,Algae,sessile,
Pseudolithophyllum muricatum,Pseudolithophyllum muricatum,Algae,sessile,
Pterocladiella caloglossoides,Pterocladiella caloglossoides,Algae,sessile,
Pterosiphonia bipinata,Savoiea robusta,Algae,sessile,
Pterosiphonia bipinnata,Savoiea robusta,Algae,sessile,
Pterosiphonia dendroidea,Pterosiphonia dendroidea,Algae,sessile,
Pterosiphonia gracilis,Pterosiphonia gracilis,Algae,sessile,
Pterygophora californica,Pterygophora californica,Algae,sessile,
Ptilota serrata,Ptilota filicina,Algae,sessile,
Ptilota serrata filicina,Ptilota filicina,Algae,sessile,
Ptilota sp.,Ptilota sp.,Algae,sessile,
Ptilota spp.,Ptilota sp.,Algae,sessile,
Ptilota tenuis,Ptilota tenuis,Algae,sessile,
Pugetia firma,Pugetia firma,Algae,sessile,
Pugettia firma,Pugetia firma,Algae,sessile,
Punctaria,Punctaria sp.,Algae,sessile,
Punctaria sp.,Punctaria sp.,Algae,sessile,
Pylaiella littoralis,Pylaiella littoralis,Algae,sessile,
Porphyra abbottiae,Pyropia abbottiae,Algae,sessile,
Porphyra abbottiea,Pyropia abbottiae,Algae,sessile,
Pyropia abbottiae,Pyropia abbottiae,Algae,sessile,
Pyropia fallax,Pyropia fallax,Algae,sessile,
Pyropia fucicola,Pyropia fucicola,Algae,sessile,
Pyropia gardneri,Pyropia gardneri,Algae,sessile,
Porphyra perforata,Pyropia perforata,Algae,sessile,
Pyropia perforata,Pyropia perforata,Algae,sessile,
Pyropia schizophylla,Pyropia schizophylla,Algae,sessile,
Pyropia smithii,Pyropia smithii,Algae,sessile,
Pyropia sp.,Pyropia sp.,Algae,sessile,
Ralfisa,Ralfsioid,Algae,sessile,
Ralfsia,Ralfsioid,Algae,sessile,
Ralfsia fungiformis,Ralfsioid,Algae,sessile,
Ralfsia pacifica,Ralfsioid,Algae,sessile,
Ralfsia sp,Ralfsioid,Algae,sessile,
Ralfsia sp [brown crust],Ralfsioid,Algae,sessile,
Ralfsia sp.,Ralfsioid,Algae,sessile,
Rhizoclonium tortuosum,Rhizoclonium tortuosum,Algae,sessile,
Rhodochorton purpureum,Rhodochorton purpureum,Algae,sessile,
Rhodocorton purpureum,Rhodochorton purpureum,Algae,sessile,
Rhodymenia sp.,Rhodymenia sp.,Algae,sessile,
Saccharina latissima,Saccharina latissima,Algae,sessile,
Saccharina latissimus,Saccharina latissima,Algae,sessile,
Saccharina groenlandica,Hedophyllum nigripes,Algae,sessile,
Saccharina sessile,Hedophyllum sessile,Algae,sessile,
Saccharina sessilis,Hedophyllum sessile,Algae,sessile,
Salishia firma,Salishia firma,Algae,sessile,
Sargassum muticum,Sargassum muticum,Algae,sessile,
Scagelia occidentale,Scagelia occidentale,Algae,sessile,
Schizymenia pacifica,Schizymenia pacifica,Algae,sessile,
Scytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,
Sytosiphon dotyi,Scytosiphon dotyi,Algae,sessile,
Scytosiphon lomentaria,Scytosiphon lomentaria,Algae,sessile,
Scytosiphon lomentarii,Scytosiphon lomentaria,Algae,sessile,
Smithora naiadum,Smithora naiadum,Algae,sessile,
Soranthera ulvoidea,Soranthera ulvoidea,Algae,sessile,
Sparlingia pertusa,Sparlingia pertusa,Algae,sessile,
Sphacelaria rigidula,Sphacelaria rigidula,Algae,sessile,
Pseudolithophyllum neofarlowii,Chamberlainium tumidum,Algae,sessile,
Pseudolithophyllum neofarlowii Spongites tumidum,Chamberlainium tumidum,Algae,sessile,
Spongites tumidum,Chamberlainium tumidum,Algae,sessile,
Tiffaniella snyderae,Tiffaniella snyderae,Algae,sessile,
Tokidadendron bullatum,Tokidadendron bullatum,Algae,sessile,
Ulothrix/Urospora,Ulothrix-Urospora sp.,Algae,sessile,
Ulva intestinalis,Ulva intestinalis,Algae,sessile,
Ulva lactuca,Ulva lactuca,Algae,sessile,
Ulva linza,Ulva linza,Algae,sessile,
Ulva lobata,Ulva lobata,Algae,sessile,
Ulva prolifera,Ulva prolifera,Algae,sessile,
Ulva sp.,Ulva sp.,Algae,sessile,
Red Crust,Unknown crust,Algae,sessile,
Unknown black crust,Unknown crust,Algae,sessile,
Unknown brown crust,Unknown crust,Algae,sessile,
Unknown red crust,Unknown crust,Algae,sessile,
Unidentified turf,Unknown turf,Algae,sessile,
Wildmania cuneformis,Wildmania amplissima,Algae,sessile,
Wildmania cuneiformis,Wildmania amplissima,Algae,sessile,
Wildemania norrisii,Wildmania norrisii,Algae,sessile,
Wildmania norrisii,Wildmania norrisii,Algae,sessile,
Porphyra schizophylla,Wildmania schizophylla,Algae,sessile,
CORALLINE,,Algae,sessile,
Savoiea robusta,Savoiea robusta,Algae,sessile,
Hedophyllum sessile,Hedophyllum sessile,Algae,sessile,
Hedophyllum nigripes,Hedophyllum nigripes,Algae,sessile,
Bossiella sp.,Bossiella sp.,Algae,sessile,
Callithamnion biseriatum,Callithamnion biseriatum,Algae,sessile,
Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,isomorphic sporic
Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,
Desmarestia herbacea,Desmarestia herbacea,Algae,sessile,heteromorphic sporic
Phyllospadix torreyi,Phyllospadix torreyi,Algae,sessile,angiosperm
Pterosiphonia,Pterosiphonia sp.,Algae,sessile,isomorphic sporic
Ulva fenestrata,Ulva fenestrata,Algae,sessile,isomorphic sporic
Ulva expansa,Ulva expansa,Algae,sessile,isomorphic sporic
Ulothrix palusalsa,Ulothrix palusalsa,Algae,sessile,zygotic
Unknown red blade,Unknown red blade,Algae,sessile,NA
articulated coralline,articulated coralline,Algae,sessile,isomorphic sporic
Acmaea mitra,Acmaea mitra,Animal,motile,NA
Amphipoda,Amphipoda,Animal,motile,NA
Amphiporus,Amphiporus,Animal,motile,NA
Cf. Amphissa columbiana,Amphissa sp.,Animal,motile,NA
Anemone,Anemone,Animal,sessile,NA
"Anemone, unknown",Anemone,Animal,sessile,NA
Anthopleura elegantisima,Anthopleura elegantissima,Animal,sessile,NA
Anthopleura elegantissima,Anthopleura elegantissima,Animal,sessile,NA
Anthopleura,Anthopleura sp.,Animal,sessile,NA
Anthopleura xanthagrammica,Anthopleura xanthogrammica,Animal,sessile,NA
Anthopleura xanthgrammica,Anthopleura xanthogrammica,Animal,sessile,NA
Anthopleura xanthogrammica,Anthopleura xanthogrammica,Animal,sessile,NA
Anthopleura zanthogrammica,Anthopleura xanthogrammica,Animal,sessile,NA
Balanus glandula,Balanus glandula,Animal,sessile,NA
Balanus,Balanus sp.,Animal,sessile,NA
Barnacle,Barnacle,Animal,sessile,NA
Barnacle sp.,Barnacle,Animal,sessile,NA
Barnacles,Barnacle,Animal,sessile,NA
Bittium?,Bittium,Animal,motile,NA
Brittle star,Brittle star,Animal,motile,NA
Bryozoan,Bryozoan,Animal,sessile,NA
Bryozoans,Bryozoan,Animal,sessile,NA
Encrusting bryozoan,Bryozoan,Animal,sessile,NA
Unknown orange encrusting bryozoan,Bryozoan,Animal,sessile,NA
Calliostoma,Calliostoma,Animal,motile,NA
Chiton,Chiton,Animal,motile,NA
Chitons,Chiton,Animal,motile,NA
Other Chiton,Chiton,Animal,motile,NA
Other chitons,Chiton,Animal,motile,NA
Chlorostoma,Chlorostoma sp.,Animal,motile,NA
Chlorostoma snails,Chlorostoma sp.,Animal,motile,NA
Chthalamus,Chthamalus dalli,Animal,sessile,NA
Chthamalus,Chthamalus dalli,Animal,sessile,NA
Chthamalus dalli,Chthamalus dalli,Animal,sessile,NA
Chthamalus sp.,Chthamalus dalli,Animal,sessile,NA
Clam,Clam,Animal,motile,NA
"Clam hole, alive",Clam hole,Animal,motile,NA
Sculpin,Cottoidea,Animal,motile,NA
Tidepool sculpin,Cottoidea,Animal,motile,NA
Crab,Crab,Animal,motile,NA
Cryptochiton,Cryptochiton,Animal,motile,NA
Orange sea cucumber,Cucumaria miniata,Animal,motile,NA
Dermasterias,Dermasterias,Animal,motile,NA
Feather duster worm,Feather duster worm,Animal,sessile,NA
Fish,Fish,Animal,motile,NA
Flustralidra,Flustralidra,Animal,sessile,NA
Flustrellidra,Flustralidra,Animal,sessile,NA
Flustrella,Flustralidra,Animal,sessile,NA
Gammaridae,Gammaridae,Animal,motile,NA
Gobiosox,Gobiesox,Animal,motile,NA
Gobisox,Gobiesox,Animal,motile,NA
Halichondria,Halichondria,Animal,sessile,NA
Halichondria panicea,Halichondria panicea,Animal,sessile,NA
Haliclona,Haliclona,Animal,sessile,NA
Cf. Hapalogaster mertensii,Haplogaster sp.,Animal,motile,NA
Hemigrapsis ?,Hemigrapsis sp.,Animal,motile,NA
Hemigrapsis sp. ?,Hemigrapsis sp.,Animal,motile,NA
Hemigrapsus,Hemigrapsis sp.,Animal,motile,NA
Shore Crab,Hemigrapsis sp.,Animal,motile,NA
Small crab,Hemigrapsis sp.,Animal,motile,NA
Henricia,Henricia,Animal,motile,NA
Erect hydroid,Hydroid,Animal,sessile,NA
Hydroid,Hydroid,Animal,sessile,NA
Isopoda,Isopoda,Animal,motile,NA
Jingle,Jingle,Animal,sessile,NA
Katharina,Katharina tunicata,Animal,motile,NA
Katharina tunicata,Katharina tunicata,Animal,motile,NA
Lacuna,Lacuna sp.,Animal,motile,NA
Leptasterias,Leptasterias sp.,Animal,motile,NA
Leptasterius,Leptasterias sp.,Animal,motile,NA
Ligia,Ligia sp.,Animal,motile,NA
Limpet,Limpet,Animal,motile,NA
Littorina scutulata,Littorina scutulata,Animal,motile,NA
Littorina,Littorina sp.,Animal,motile,NA
Littorine snails,Littorina sp.,Animal,motile,NA
Littornia,Littorina sp.,Animal,motile,NA
Lophopanopeus bellusopeus bellusopeus bellusopeus bellus,Lophopanopeus bellus,Animal,motile,NA
Lottia,Lottia sp.,Animal,motile,NA
Lottia spp,Lottia sp.,Animal,motile,NA
Red urchin,Mesocentrotus franciscanus,Animal,motile,NA
Mopalia,Mopalia sp.,Animal,motile,NA
Mysid,Mysid,Animal,motile,NA
Mussel,Mytilus sp.,Animal,sessile,NA
Mytillus sp.,Mytilus sp.,Animal,sessile,NA
Mytilus,Mytilus sp.,Animal,sessile,NA
Mytilus trossulus,Mytilus trossulus,Animal,sessile,NA
Nemertean,Nemertea,Animal,motile,NA
Nemertean worm,Nemertea,Animal,motile,NA
Nereid worm,Nereid,Animal,motile,NA
Nucella lamellosa,Nucella lamellosa,Animal,motile,NA
Nucella,Nucella sp.,Animal,motile,NA
Nucella sp.,Nucella sp.,Animal,motile,NA
Nudibranch,Nudipleura,Animal,motile,NA
Onchidella borealis,Onchidella borealis,Animal,motile,NA
Onchidella,Onchidella sp.,Animal,motile,NA
Hermit crabs,Pagarus sp.,Animal,motile,NA
Pagurus,Pagarus sp.,Animal,motile,NA
Pagurus spp,Pagarus sp.,Animal,motile,NA
Pagurus spp.,Pagarus sp.,Animal,motile,NA
Idotea,Pentidotea sp.,Animal,motile,NA
Pentidotea,Pentidotea sp.,Animal,motile,NA
Pholidae,Pholidae,Animal,motile,NA
Pisaster,Pisaster ochraceus,Animal,motile,NA
Pisaster ochraceous,Pisaster ochraceus,Animal,motile,NA
Pisaster ochraceus,Pisaster ochraceus,Animal,motile,NA
Pisaster or similar sea star,Pisaster ochraceus,Animal,motile,NA
Pododesmus,Pododesmus sp.,Animal,sessile,NA
"Barnacles, goose-necked",Pollicipes polymerus,Animal,sessile,NA
Gooseneck barnacles,Pollicipes polymerus,Animal,sessile,NA
Pollicipes,Pollicipes polymerus,Animal,motile,NA
Polychaete,Polychaete,Animal,motile,NA
Orange sponge,Porifera,Animal,sessile,NA
Orange Sponge,Porifera,Animal,sessile,NA
Purple sponge,Porifera,Animal,sessile,NA
Sponge,Porifera,Animal,sessile,NA
Tan Sponge,Porifera,Animal,sessile,NA
Unknown orange sponge,Porifera,Animal,sessile,NA
Kelp crab,Pugettia producta,Animal,motile,NA
Pugettia producta,Pugettia producta,Animal,motile,NA
