taxon_corrected,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Corallina arbuscula,Corallina arbuscula,Corallina,Corallina,Corallina,Algae,sessile,
Corallina frondescens,Corallina frondescens,Corallina,Corallina,Corallina,Algae,sessile,
Corallina officinalis,Corallina officinalis,Corallina,Corallina,Corallina,Algae,sessile,
Corallina sp.,Corallina sp.,Corallina,Corallina,Corallina,Algae,sessile,
Corallina sp.1 frondescens,Corallina sp.1 frondescens,Corallina,Corallina,Corallina,Algae,sessile,
Corallina sp.2 frondescens,Corallina sp.2 frondescens,Corallina,Corallina,Corallina,Algae,sessile,
Corallina vancouveriensis,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,
Coralline crust,Coralline crust,Unknown CCA,Unknown CCA,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Costaria costata,Costaria costata,Costaria costata,Costaria costata,Costaria costata,Algae,sessile,
Cottoidea,Cottoidea,Cottoidea,Cottoidea,Cottoidea,Animal,motile,
Crab,Crab,Crab,Crab,Crab,Animal,motile,
Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon_lumped3 to coralline crust 20200421 by Matt Whalen
Cryptochiton,Cryptochiton,Cryptochiton,Cryptochiton,Cryptochiton,Animal,motile,
Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,
Cucumaria miniata,Cucumaria miniata,Cucumaria miniata,Cucumaria miniata,Cucumaria miniata,Animal,motile,
Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Algae,sessile,
Dermasterias,Dermasterias,Dermasterias,Dermasterias,Dermasterias,Animal,motile,
Desmarestia aculeata,Desmarestia aculeata,Desmarestia aculeata,Desmarestia aculeata,Desmarestia aculeata,Algae,sessile,
Desmarestia ligulata,Desmarestia ligulata,Desmarestia ligulata,Desmarestia ligulata,Desmarestia ligulata,Algae,sessile,
Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,Algae,sessile,
