taxon,taxon_corrected,kingdom,sessile,taxon_revised,taxon_lumped,taxon_lumped2,taxon_lumped3,non.alga.flag,motile_sessile,Notes
Pseudolithophyllum whidbeyense,Bossiella exarticulata / mayae,Algae,sessile,Bossiella exarticulata / mayae,Bossiella crust,Bossiella crust,coralline crust,Algae,sessile,NA
Bossiella flexulosa,Bossiella flexuosa,Algae,sessile,Bossiella flexuosa,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bosiella frondescens,Bossiella frondescens,Algae,sessile,Bossiella frondescens,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella frondenscens,Bossiella frondescens,Algae,sessile,Bossiella frondescens,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella frondescens,Bossiella frondescens,Algae,sessile,Bossiella frondescens,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.4 chiloensis,Bossiella frondescens,Algae,sessile,Bossiella frondescens,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Corallina frondescens,Bossiella frondescens,Algae,sessile,Bossiella frondescens,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella frondifera,Bossiella frondifera,Algae,sessile,Bossiella frondifera,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella hakaiensis,Bossiella hakaiensis,Algae,sessile,Bossiella hakaiensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella manzae,Bossiella manzae,Algae,sessile,Bossiella manzae,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella plumosa,Bossiella plumosa,Algae,sessile,Bossiella plumosa,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella plumosa?,Bossiella plumosa,Algae,sessile,Bossiella plumosa,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella reptans,Bossiella reptans,Algae,sessile,Bossiella reptans,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella,Bossiella sp.,Algae,sessile,Bossiella sp.,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.,Bossiella sp.,Algae,sessile,Bossiella sp.,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella chiloensis sp.1,Bossiella sp.1 chiloensis,Algae,sessile,Bossiella sp.1 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella chiloensis 1,Bossiella sp.1 chiloensis,Algae,sessile,Bossiella sp.1 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella pseudodichotoma,Bossiella sp.2 chiloensis,Algae,sessile,Bossiella sp.2 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.2 chiloensis,Bossiella sp.2 chiloensis,Algae,sessile,Bossiella sp.2 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.2chiloensis,Bossiella sp.2 chiloensis,Algae,sessile,Bossiella sp.2 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.5 chiloensis,Bossiella sp.5 chiloensis,Algae,sessile,Bossiella sp.5 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Bossiella sp.5 chiloensis [flexuosa],Bossiella sp.5 chiloensis,Algae,sessile,Bossiella sp.5 chiloensis,Bossiella articulate,Bossiella articulate,Bossiella articulate,Algae,sessile,NA
Brachyuran crabs,Brachyura,Animal,motile,Brachyura,Brachyura,Brachyura,Crab,Animal,motile,NA
Brittle star,Brittle star,Animal,motile,Brittle star,Brittle star,Brittle star,Brittle star,Animal,motile,NA
Brown crust,Brown crust,Algae,sessile,Brown crust,Ralfsioid,Ralfsioid,Ralfsioid,Algae,sessile,NA
Bryopsis corticulans,Bryopsis corticulans,Algae,sessile,Bryopsis corticulans,Bryopsis corticulans,Bryopsis corticulans,Bryopsis corticulans,Algae,sessile,NA
Bryozoan,Bryozoan,Animal,sessile,Bryozoan,Bryozoan,Bryozoan,Bryozoan,Animal,sessile,NA
Bryozoans,Bryozoan,Animal,sessile,Bryozoan,Bryozoan,Bryozoan,Bryozoan,Animal,sessile,NA
Encrusting bryozoan,Bryozoan,Animal,sessile,Bryozoan,Bryozoan,Bryozoan,Bryozoan,Animal,sessile,NA
Unknown orange encrusting bryozoan,Bryozoan,Animal,sessile,Bryozoan,Bryozoan,Bryozoan,Bryozoan,Animal,sessile,NA
Calliarthron tuberculosum,Calliarthron tuberculosum,Algae,sessile,Calliarthron tuberculosum,Calliarthron tuberculosum,Calliarthron tuberculosum,Calliarthron tuberculosum,Algae,sessile,NA
Calliostoma,Calliostoma,Animal,motile,Calliostoma,Calliostoma,Calliostoma,Calliostoma,Animal,motile,NA
Callithamnion biseriatum,Callithamnion biseriatum,Algae,sessile,Callithamnion biseriatum,Callithamnion biseriatum,Callithamnion biseriatum,Callithamnion biseriatum,Algae,sessile,NA
Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Callithamnion pikeanum,Algae,sessile,NA
Callophyllis sp.,Callophyllis sp.,Algae,sessile,Callophyllis sp.,Callophyllis sp.,Callophyllis sp.,Callophyllis sp.,Algae,sessile,NA
Ceramium codicola,Ceramium codicola,Algae,sessile,Ceramium codicola,Ceramium codicola,Ceramium codicola,Ceramium codicola,Algae,sessile,NA
Ceramium pacificum,Ceramium pacificum,Algae,sessile,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Ceramium pacificum,Algae,sessile,NA
Ceratostoma,Ceratostoma,Animal,motile,Ceratostoma,Ceratostoma,Ceratostoma,Ceratostoma,Animal,motile,NA
Chaetomorpha cannabina,Chaetomorpha linum,Algae,sessile,Chaetomorpha linum,Chaetomorpha linum,Chaetomorpha linum,Chaetomorpha,Algae,sessile,NA
Chaetomorpha linum,Chaetomorpha linum,Algae,sessile,Chaetomorpha linum,Chaetomorpha linum,Chaetomorpha linum,Chaetomorpha,Algae,sessile,NA
Pseudolithophyllum neofarlowii,Chamberlainium tumidum,Algae,sessile,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Pseudolithophyllum neofarlowii Spongites tumidum,Chamberlainium tumidum,Algae,sessile,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Spongites tumidum,Chamberlainium tumidum,Algae,sessile,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Chamberlainium tumidum,Algae,sessile,changed to Chamberlainium in 2019
Chiharaea bodegensis,Chiharaea bodegensis,Algae,sessile,Chiharaea bodegensis,Chiharaea bodegensis,Chiharaea bodegensis,Chiharaea bodegensis,Algae,sessile,NA
Chiharaea bodegensis f. americana,Chiharaea bodegensis f. americana,Algae,sessile,Chiharaea bodegensis f. americana,Chiharaea bodegensis f. americana,Chiharaea bodegensis f. americana,Chiharaea bodegensis f. americana,Algae,sessile,NA
Chiharaea rhododactyla,Chiharaea rhododactyla,Algae,sessile,Chiharaea rhododactyla,Chiharaea rhododactyla,Chiharaea rhododactyla,Chiharaea rhododactyla,Algae,sessile,NA
Chiharaea silvae,Chiharaea silvae,Algae,sessile,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Chiharaea silvae,Algae,sessile,NA
Chiton,Chiton,Animal,motile,Chiton,Chiton,Chiton,Chiton,Animal,motile,NA
Chitons,Chiton,Animal,motile,Chiton,Chiton,Chiton,Chiton,Animal,motile,NA
Other Chiton,Chiton,Animal,motile,Chiton,Chiton,Chiton,Chiton,Animal,motile,NA
Other chitons,Chiton,Animal,motile,Chiton,Chiton,Chiton,Chiton,Animal,motile,NA
Chondracanthus exasperatus,Chondracanthus exasperatus,Algae,sessile,Chondracanthus exasperatus,Chondracanthus exasperatus,Chondracanthus exasperatus,Chondracanthus exasperatus,Algae,sessile,NA
Chthalamus,Chthamalus dalli,Animal,sessile,Chthamalus dalli,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Chthamalus,Chthamalus dalli,Animal,sessile,Chthamalus dalli,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Chthamalus dalli,Chthamalus dalli,Animal,sessile,Chthamalus dalli,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Chthamalus sp.,Chthamalus dalli,Animal,sessile,Chthamalus dalli,Barnacles,Barnacles,Barnacles,Animal,sessile,NA
Cladophora columbiana,Cladophora columbiana,Algae,sessile,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Cladophora columbiana,Algae,sessile,NA
Cladophora sericea,Cladophora sericea,Algae,sessile,Cladophora sericea,Cladophora sericea,Cladophora sericea,Cladophora sericea,Algae,sessile,NA
Cladophora stimpsonii,Cladophora stimpsonii,Algae,sessile,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Cladophora stimpsonii,Algae,sessile,NA
Clam,Clam,Animal,motile,Clam,Clam,Clam,Clam,Animal,motile,NA
"Clam hole, alive",Clam hole,Animal,motile,Clam hole,Clam hole,Clam hole,Clam hole,Animal,motile,NA
"Clam shell, dead",Clam shell,Substratum,NA,Clam shell,Clam shell,Clam shell,Clam shell,Substratum,NA,NA
Codium fragile,Codium fragile,Algae,sessile,Codium fragile,Codium fragile,Codium fragile,Codium fragile,Algae,sessile,NA
Codium setchelii,Codium setchellii,Algae,sessile,Codium setchellii,Codium setchellii,Codium setchellii,Codium setchellii,Algae,sessile,NA
Codium setchellii,Codium setchellii,Algae,sessile,Codium setchellii,Codium setchellii,Codium setchellii,Codium setchellii,Algae,sessile,NA
Collinsiella tuberculata,Collinsiella tuberculata,Algae,sessile,Collinsiella tuberculata,Collinsiella tuberculata,Collinsiella tuberculata,Collinsiella tuberculata,Algae,sessile,NA
Colonial Diatoms,Colonial diatoms,Algae,sessile,Colonial diatoms,Colonial diatoms,Colonial diatoms,Colonial diatoms,Algae,sessile,NA
"Diatoms, colonial",Colonial diatoms,Algae,sessile,Colonial diatoms,Colonial diatoms,Colonial diatoms,Colonial diatoms,Algae,sessile,NA
Diatoms,Colonial diatoms,Algae,sessile,Colonial diatoms,Colonial diatoms,Colonial diatoms,Colonial diatoms,Algae,sessile,NA
Colpomenia peregrina,Colpomenia peregrina,Algae,sessile,Colpomenia peregrina,Colpomenia peregrina,Colpomenia peregrina,Colpomenia peregrina,Algae,sessile,NA
Constantinea subulifera,Constantinea subulifera,Algae,sessile,Constantinea subulifera,Constantinea subulifera,Constantinea subulifera,Constantinea subulifera,Algae,sessile,NA
Corallina sp. 2,Corallina bathybentha,Algae,sessile,Corallina bathybentha,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina sp.2,Corallina bathybentha,Algae,sessile,Corallina bathybentha,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina sp.2 frondescens,Corallina bathybentha,Algae,sessile,Corallina bathybentha,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina officianalis,Corallina chilensis,Algae,sessile,Corallina chilensis,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina officinalis,Corallina chilensis,Algae,sessile,Corallina chilensis,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina sp.1 frondescens,Corallina chilensis,Algae,sessile,Corallina chilensis,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina arbuscula,Corallina pilulifera,Algae,sessile,Corallina pilulifera,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina,Corallina sp.,Algae,sessile,Corallina sp.,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina sp.,Corallina sp.,Algae,sessile,Corallina sp.,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina sp.1 california,Corallina sp.,Algae,sessile,Corallina sp.,Corallina,Corallina,Corallina,Algae,sessile,NA
Corallina vancouveriensis,Corallina vancouveriensis,Algae,sessile,Corallina vancouveriensis,Corallina,Corallina,Corallina,Algae,sessile,NA
"Corallina crust, unknown",coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
"Coralline crust, unknown",coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
Encrusting coralline,coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
Encrusting corallines,coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
Encrusting Corraline,coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
Unknown coralline crust,coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
"Hot pink, thin crustose coraline",coralline crust,Algae,sessile,coralline crust,coralline crust,coralline crust,coralline crust,Algae,sessile,NA
Costaria costata,Costaria costata,Algae,sessile,Costaria costata,Costaria costata,Costaria costata,Costaria costata,Algae,sessile,NA
Sculpin,Cottoidea,Animal,motile,Cottoidea,Cottoidea,Cottoidea,Cottoidea,Animal,motile,NA
Tidepool sculpin,Cottoidea,Animal,motile,Cottoidea,Cottoidea,Cottoidea,Cottoidea,Animal,motile,NA
Crab,Crab,Animal,motile,Crab,Crab,Crab,Crab,Animal,motile,NA
Crusticorallina muricata,Crusticorallina muricata,Algae,sessile,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon lumped3 to coralline crust 20200421 by Matt Whalen
Crusticorallina muricatum,Crusticorallina muricata,Algae,sessile,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon lumped3 to coralline crust 20200421 by Matt Whalen
Pseudlolithophyllum muricatum,Crusticorallina muricata,Algae,sessile,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon lumped3 to coralline crust 20200421 by Matt Whalen
Pseudolithophyllum muricatum,Crusticorallina muricata,Algae,sessile,Crusticorallina muricata,Crusticorallina muricata,Crusticorallina muricata,coralline crust,Algae,sessile,taxon lumped3 to coralline crust 20200421 by Matt Whalen
Cryptochiton,Cryptochiton,Animal,motile,Cryptochiton,Cryptochiton,Cryptochiton,Cryptochiton,Animal,motile,NA
Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Cryptosiphonia woodii,Algae,sessile,NA
Orange sea cucumber,Cucumaria miniata,Animal,motile,Cucumaria miniata,Cucumaria miniata,Cucumaria miniata,Cucumaria miniata,Animal,motile,NA
Cumathamnion decipiens,Cumathamnion decipiens,Algae,sessile,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Algae,sessile,NA
Delesseria decipiens,Cumathamnion decipiens,Algae,sessile,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Cumathamnion decipiens,Algae,sessile,NA
Colpomenia bullosa,Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Colpomenia bullosa,Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Colpomenia bullosa [now Dactylosiphon bullosus],Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Colpomenia bullosa [now Dactylosiphon bullosus],Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Dactylosiphon bullosus,Algae,sessile,NA
Dermasterias,Dermasterias,Animal,motile,Dermasterias,Dermasterias,Dermasterias,Dermasterias,Animal,motile,NA
Desmarestia aculeata,Desmarestia aculeata,Algae,sessile,Desmarestia aculeata,Desmarestia aculeata,Desmarestia aculeata,Desmarestia aculeata,Algae,sessile,NA
Desmarestia herbacea,Desmarestia herbacea,Algae,sessile,Desmarestia herbacea,Desmarestia herbacea,Desmarestia herbacea,Desmarestia herbacea,Algae,sessile,NA
Desmarestia ligulata,Desmarestia ligulata,Algae,sessile,Desmarestia ligulata,Desmarestia ligulata,Desmarestia ligulata,Desmarestia ligulata,Algae,sessile,NA
Palmaria mollis,Devaleraea mollis,Algae,sessile,Devaleraea mollis,Devaleraea mollis,Devaleraea mollis,Devaleraea mollis,Algae,sessile,NA
Devaleraea mollis,Devaleraea mollis,Algae,sessile,Devaleraea mollis,Devaleraea mollis,Devaleraea mollis,Devaleraea mollis,Algae,sessile,NA
Dictyosiphon,Dictyosiphon sinicola,Algae,sessile,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Algae,sessile,NA
Dictyosiphon foeniculaceus,Dictyosiphon sinicola,Algae,sessile,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Algae,sessile,NA
Dictyosiphon sinicola,Dictyosiphon sinicola,Algae,sessile,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Dictyosiphon sinicola,Algae,sessile,NA
Dilsea,Dilsea californica,Algae,sessile,Dilsea californica,Dilsea californica,Dilsea californica,Dilsea californica,Algae,sessile,NA
Dilsea californica,Dilsea californica,Algae,sessile,Dilsea californica,Dilsea californica,Dilsea californica,Dilsea californica,Algae,sessile,NA
Ectocarpus commensalis,Ectocarpus commensalis,Algae,sessile,Ectocarpus commensalis,Ectocarpus commensalis,Ectocarpus commensalis,Ectocarpus commensalis,Algae,sessile,NA
Ectocarpus siliculosus,Ectocarpus siliculosus,Algae,sessile,Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus,Ectocarpus siliculosus,Algae,sessile,NA
Ectocarpus,Ectocarpus sp.,Algae,sessile,Ectocarpus sp.,Ectocarpus sp.,Ectocarpus sp.,Ectocarpus sp.,Algae,sessile,NA
Egregia menziesii,Egregia menziesii,Algae,sessile,Egregia menziesii,Egregia menziesii,Egregia menziesii,Egregia menziesii,Algae,sessile,NA
Elachista fucicola,Elachista fucicola,Algae,sessile,Elachista fucicola,Elachista fucicola,Elachista fucicola,Elachista fucicola,Algae,sessile,NA
Endocladia muricata,Endocladia muricata,Algae,sessile,Endocladia muricata,Endocladia muricata,Endocladia muricata,Endocladia muricata,Algae,sessile,NA
Entoprocta,Entoprocta,Animal,sessile,Entoprocta,Entoprocta,Entoprocta,Entoprocta,Animal,sessile,NA
Erythrotrichia carnea,Erythrotrichia carnea,Algae,sessile,Erythrotrichia carnea,Erythrotrichia carnea,Erythrotrichia carnea,Erythrotrichia carnea,Algae,sessile,NA
Eugomontia sacculata,Eugomontia sacculata,Algae,sessile,Eugomontia sacculata,Eugomontia sacculata,Eugomontia sacculata,Eugomontia sacculata,Algae,sessile,NA
Evasterias,Evasterias sp.,Animal,motile,Evasterias sp.,Evasterias sp.,Evasterias sp.,Evasterias sp.,Animal,motile,NA
Farlowia mollis,Farlowia mollis,Algae,sessile,Farlowia mollis,Farlowia mollis,Farlowia mollis,Farlowia mollis,Algae,sessile,NA
