taxon,kelp_fucoid_turf,littler_groups,new_cat,new_cat_simple1,new_cat_simple2,new_cat_simple3,funct_Sep2020,funct_2021,flag
Brown crust,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Bryopsis corticulans,,,,,,,,thin_turf,
Bryozoan,animal,animal,animal,animal,animal,animal,animal,animal,
Calliarthron tuberculosum,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Calliostoma,animal,animal,animal,animal,animal,animal,animal,animal,
Callithamnion biseriatum,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Callithamnion pikeanum,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Callophyllis sp.,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Ceramium codicola,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Ceramium pacificum,filament,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Ceratostoma,animal,animal,animal,animal,animal,animal,animal,animal,
Chaetomorpha                   ,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Chaetomorpha cannabina,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Chaetomorpha linum,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Chamberlainium tumidum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Chiharaea bodegensis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Chiharaea bodegensis f. americana,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Chiharaea rhododactyla,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Chiharaea silvae,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Chiton,animal,animal,animal,animal,animal,animal,animal,animal,
Chondracanthus exasperatus,,,,,,,,blade,
Chthamalus dalli,animal,animal,animal,animal,animal,animal,animal,animal,
Cladophora columbiana,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,
Cladophora sericea,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,
Cladophora stimpsonii,filament_turf,filament,green turf,green turf,turf,turf,thin_turf,thin_turf,
Clam,animal,animal,animal,animal,animal,animal,animal,animal,
Clam hole,substrate,substrate,substrate,substrate,substrate,substrate,substrate,substrate,
Clam shell,substrate,substrate,substrate,substrate,substrate,substrate,substrate,substrate,
Clathromorphum Neopolyporolithon reclinatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Clathromorphum reclinatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Clathromorphum reclunatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Codium fragile,other,finely branching,Codium,Codium,Codium,Codium,turf,turf,
Codium setchelii,other,crustose,Codium,Codium,Codium,Codium,crust,crust,could be turf instead
Codium setchellii,other,crustose,Codium,Codium,Codium,Codium,crust,crust,could be turf instead
Collinsiella tuberculata,green turf,sheet,green turf,green turf,turf,turf,turf,turf,
Colonial Diatoms,filament,filament,filament,filament,filament,filament,NA,NA,
Colonial diatoms,filament,filament,filament,filament,filament,filament,NA,NA,
Colpomenia bullosa,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,
Colpomenia peregrina,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,
Constantinea subulifera,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Corallina,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina arbuscula,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina bathybentha,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina chilensis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
"Corallina crust, unknown",articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina officianalis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina officinalis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina pilulifera,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp.,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp. 2,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp.1 california,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp.1 frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp.2,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina sp.2 frondescens,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Corallina vancouveriensis,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
CORALLINE,NA,NA,NA,NA,NA,NA,NA,NA,
coralline crust,crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
"Coralline crust, unknown",crust,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Costaria costata,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Cottoidea,animal,animal,animal,animal,animal,animal,animal,animal,
Crab,animal,animal,animal,animal,animal,animal,animal,animal,
Crusticorallina muricata,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Crusticorallina muricatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Cryptochiton,animal,animal,animal,animal,animal,animal,animal,animal,
Cryptopleura,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Cryptosiphonia woodii,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Cucumaria miniata,animal,animal,animal,animal,animal,animal,animal,animal,
Cumathamnion decipiens,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Dactylosiphon bullosus,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,
Delesseria decipiens,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Dermasterias,animal,animal,animal,animal,animal,animal,animal,animal,
Desmarestia aculeata,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,turf,turf,Ah shit
Desmarestia herbacea,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,large_brown,canopy,Ah shit; calling this kelp because it is functionally similar to a kelp
Desmarestia ligulata,Desmarestiales,thick leathery,Desmarestia,Desmarestia,Desmarestia,Desmarestia,large_brown,canopy,Ah shit; calling this kelp because it is functionally similar to a kelp
Devaleraea mollis,red turf,thick leathery,red turf,red turf,turf,turf,blade,blade,
"Diatoms, colonial",filament,filament,filament,filament,filament,filament,NA,NA,
Dictyosiphon,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,
Dictyosiphon foeniculaceus,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,
Dictyosiphon sinicola,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,
Dilsea,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Dilsea californica,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Ectocarpus,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Ectocarpus commensalis,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Ectocarpus siliculosus,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Ectocarpus sp.,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Egregia menziesii,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Elachista fucicola,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Encrusting coralline,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Encrusting corallines,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Encrusting Corraline,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Endocladia muricata,filament_turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Entoprocta,animal,animal,animal,animal,animal,animal,animal,animal,
Erythrotrichia carnea,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Eugomontia sacculata,NA,NA,NA,NA,NA,NA,NA,NA,removed because this is a small shell-boring species
Evasterias sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Farlowia mollis,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Feather duster worm,animal,animal,animal,animal,animal,animal,animal,animal,
Feldmannia irregularis,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Fish,animal,animal,animal,animal,animal,animal,animal,animal,
Flustralidra,animal,animal,animal,animal,animal,animal,animal,animal,
Fredericquia sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Frederikia sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Fucus distichus,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,
Fucus distichus subsp. evanescens,Fucoid,thick leathery,Fucus,Fucus,Fucus,Fucus,large_brown,canopy,
Gammaridae,animal,animal,animal,animal,animal,animal,animal,animal,
Gelidium sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Gloiocladia sp.,red turf,sheet,red blade,blade,red blade,blade,turf,turf,
Gloiopeltis furcata,red turf,finely branching,red turf,red turf,turf,turf,thin_turf,thin_turf,
Gobiesox,animal,animal,animal,animal,animal,animal,animal,animal,
Gracilaria pacifica,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Green endozoic,NA,NA,NA,NA,NA,NA,NA,NA,removed because this is an endophyte
Gunnel,animal,animal,animal,animal,animal,animal,animal,animal,
Halichondria,animal,animal,animal,animal,animal,animal,animal,animal,
Halichondria panicea,animal,animal,animal,animal,animal,animal,animal,animal,
Haliclona,animal,animal,animal,animal,animal,animal,animal,animal,
Haliotis kamtschatkana,animal,animal,animal,animal,animal,animal,animal,animal,
Halosaccion glandiforme,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Haplogaster sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Hedophyllum nigripes,large_brown,thick leathery,large_brown,large_brown,large_brown,large_brown,large_brown,canopy,
Hedophyllum sessile,large_brown,thick leathery,large_brown,large_brown,large_brown,large_brown,large_brown,canopy,
Hemigrapsus sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Henricia,animal,animal,animal,animal,animal,animal,animal,animal,
Herposiphonia plumula,filament_turf,filament,red turf,red turf,turf,turf,turf,turf,
Hildenbrandia,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hildenbrandia occidentalis,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hildenbrandia rubra,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hildenbrandia sp.,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hildenbrandia thick,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hildenbrandia transparent,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Hollenbergia subulata,filament,filament,filament,filament,filament,filament,thin_turf,thin_turf,
Hydroid,animal,animal,animal,animal,animal,animal,animal,animal,
Hymenena / Cryptopleura sp.,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Hymenena setchellii,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Hymenena sp.,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Hymenena spp.,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Hymenena/Cryptopleura,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Hymenena/Cryptopleura curly,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Isopoda,animal,animal,animal,animal,animal,animal,animal,animal,
Jingle,animal,animal,animal,animal,animal,animal,animal,animal,
Johansenia macmillanii,articulated coralline,jointed calcareous,articulated coralline,articulated coralline,articulated coralline,articulated coralline,turf,turf,
Katharina tunicata,animal,animal,animal,animal,animal,animal,animal,animal,
"Kelp recruit, unknown",Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Kornmannia leptoderma,blade,sheet,green blade,blade,green blade,blade,blade,blade,
Lacuna sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Laminaria setchellii,large_brown,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Laminaria yezoensis,large_brown,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Leathesia marina,brown turf,finely branching,brown turf,brown turf,turf,turf,turf,turf,
Leptasterias sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Leptofauchea sp.,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Leptofauscia,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Ligia sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Limpet,animal,animal,animal,animal,animal,animal,animal,animal,
Lithophyllum impressum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithophyllum sp.,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithophyllum sp. 1,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithophyllum sp. 2,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithophyllum sp. 8,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithothamnion glaciale,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithothamnion phymatodeon,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Lithothamnion phymatodeum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Littorina scutulata,animal,animal,animal,animal,animal,animal,animal,animal,
Littorina sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Lomentaria hakodatensis,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Lophopanopeus bellus,animal,animal,animal,animal,animal,animal,animal,animal,
Lottia sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Macrocystis pyrifera,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Mastocarpus,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus agardhii,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus alaskensis,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus intermedius,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus jardinii,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus latissimus,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus pachenicus,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus rigidus,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus sp,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus sp.,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mastocarpus spp,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Mazzaella cf. parksii,blade,thick leathery,red blade,blade,red blade,blade,turf,turf,
Mazzaella cf. parvula,blade,thick leathery,red blade,blade,red blade,blade,turf,turf,
Mazzaella latissimus,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Mazzaella oregona,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Mazzaella parksii,blade,thick leathery,red blade,blade,red blade,blade,turf,turf,
Mazzaella parvula,blade,thick leathery,red blade,blade,red blade,blade,turf,turf,
Mazzaella rigidus,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Mazzaella splendens,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Melanosiphon intestinalis,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,
Melobesia,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Melobesia mediocris,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Melobesia sp,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Melobesia sp.,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Membranoptera platyphylla,,,,,,,,turf,
Mesocentrotus franciscanus,animal,animal,animal,animal,animal,animal,animal,animal,
Mesophyllum vancouveriense,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Microcladia borealis,red turf,filament,red turf,red turf,turf,turf,thin_turf,thin_turf,
Monostroma,blade,sheet,green blade,blade,green blade,blade,blade,blade,
Monostroma grevillei,blade,sheet,green blade,blade,green blade,blade,blade,blade,
Monostroma sp.,blade,sheet,green blade,blade,green blade,blade,blade,blade,
Mopalia sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Mysida,animal,animal,animal,animal,animal,animal,animal,animal,
Mytilus sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Mytilus trossulus,animal,animal,animal,animal,animal,animal,animal,animal,
Nemalion,red turf,NA,red turf,red turf,turf,turf,turf,turf,
Nemalion helminthoides,red turf,NA,red turf,red turf,turf,turf,turf,turf,
Nemertea,animal,animal,animal,animal,animal,animal,animal,animal,
Neoagarum fimbriatum,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Neodilsea borealis,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Neodilsia borealis,blade,thick leathery,red blade,blade,red blade,blade,blade,blade,
Neogastroclonium subarticulatum,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Neopolyporolithon reclinatum,crustose coralline,crustose,crustose coralline,crustose coralline,crustose coralline,crustose coralline,crust,crust,
Neoporphyra perforata,blade,sheet,red blade,blade,red blade,blade,blade,blade,
Neopyropia fucicola,blade,sheet,red blade,blade,red blade,blade,blade,blade,
Neorhodomela aculeata,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Neorhodomela larix,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Neorhodomela oregona,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Neorhodomela oregona?,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Nereid,animal,animal,animal,animal,animal,animal,animal,animal,
Nereocystis luetkeana,Kelp,thick leathery,Kelp,Kelp,Kelp,Kelp,large_brown,canopy,
Nienburgia prolifera,,,,,,,,turf,
Nitophyllum dotyi,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Nitophyllum dotyi ?,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Nitophyllum sp.,red turf,sheet,red turf,red turf,turf,turf,turf,turf,
Nucella eggs,animal,animal,animal,animal,animal,animal,animal,animal,
Nucella lamellosa,animal,animal,animal,animal,animal,animal,animal,animal,
Nucella sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Nudipleura,animal,animal,animal,animal,animal,animal,animal,animal,
Odonthalia floccosa,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Odonthalia floccosa f. comosa,red turf,finely branching,red turf,red turf,turf,turf,turf,turf,
Onchidella borealis,animal,animal,animal,animal,animal,animal,animal,animal,
Onchidella sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Opuntiella californica,blade,thick leathery,blade,blade,blade,blade,blade,blade,could also be turf
Osmundea spectabilis,red turf,thick leathery,red turf,red turf,turf,turf,turf,turf,
Pagarus sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Palmaria hecatensis,red turf,thick leathery,red turf,red turf,turf,turf,blade,blade,
Palmaria mollis,red turf,thick leathery,red turf,red turf,turf,turf,blade,blade,
Pentidotea sp.,animal,animal,animal,animal,animal,animal,animal,animal,
Petalonia,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,could also be blade
Petalonia fascia,brown turf,sheet,brown turf,brown turf,turf,turf,turf,turf,could also be blade
Petrocelis,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Petrocelis thick,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
Petrocelis thin,crust,crustose,fleshy crust,fleshy crust,fleshy crust,fleshy crust,crust,crust,
