Fidelity ,FB,MC,NB,WB, SUM,,Top 20 Faithful Species per Community >33%,,,,,,,,,Acr_sp,Acrochaetium sp.,Red
scuz,0%,100%,0%,0%,25,,,,,,,,,,,Joh_mac,Johansenia macmillanii,Red
Cod_set,8%,0%,92%,0%,24,,,,,,,,,,,Kor_lep,Kornmannia leptoderma,Green 
Ral_fun,8%,8%,33%,50%,24,,,,,,,,,,,Lam_set,Laminaria setchellii,Kelp 
Cla_ser,17%,78%,4%,0%,23,,,,,,,,,,,Lam_yez,Laminaria yezoensis,Kelp 
Pse_whi,26%,22%,39%,13%,23,,,,,,,,,,,Lea_mar,Leathesia marina,Brown 
sand,82%,14%,0%,5%,22,,,,,,,,,,,Lepto,Leptofauchea sp.,Red
Sac_gro,0%,10%,19%,71%,21,,,,,,,,,,,Lit_imp,Lithophyllum impressum,Coralline
Bos_sp,0%,0%,60%,40%,20,,,,,,,,,,,Lit_sp,Lithophyllum sp.,Coralline
Scy_dot,45%,30%,25%,0%,20,,,,,,,,,,,Lit_sp1,Lithophyllum sp.1,Coralline
Tok_bul,70%,0%,5%,25%,20,,,,,,,,,,,Lit_sp2,Lithophyllum sp.2,Coralline
Bos_pse,42%,0%,58%,0%,19,,,,,,,,,,,Lit_sp8,Lithophyllum sp.8,Coralline
Cal_tub,32%,0%,68%,0%,19,,,,,,,,,,,Lit_phy,Lithothamnion phymatodeum,Crustose
Pol_hen_hen,53%,0%,42%,5%,19,,,,,,,,,,,Lom_hak,Lomentaria hakodatensis,Red
Bos_rep,17%,0%,67%,17%,18,,,,,,,,,,,Mac_pyr,Macrocystis pyrifera,Kelp 
Pol_hen_gar,39%,0%,50%,11%,18,,,,,,,,,,,Mas_aga,Mastocarpus agardhii,Red
Punct,0%,100%,0%,0%,18,,,,,,,,,,,Mas_ala,Mastocarpus alaskensis,Red
Lit_sp1,47%,0%,47%,6%,17,,,,,,,,,,,Mas_int,Mastocarpus intermedius,Red
Scy_lom,47%,6%,24%,24%,17,,,,,,,,,,,Mas_lat,Mastocarpus latissimus,Red
Lit_sp2,13%,19%,69%,0%,16,,,,,,,,,,,Mas_rig,Mastocarpus rigidus,Red
