Alaria.marginata,Anemone,Barnacles,Bossiella_articulate,Callithamnion.pikeanum,Ceramium.pacificum,Chamberlainium.tumidum,Cladophora.columbiana,Corallina,coralline.crust,Cryptosiphonia.woodii,Dilsea.californica,Egregia.menziesii,Elachista.fucicola,Endocladia.muricata,Farlowia.mollis,Fucus.distichus,Gloiopeltis.furcata,Halosaccion.glandiforme,Hedophyllum.sessile,Hildenbrandia,Hymenena.spp.,Leathesia.marina,Lithothamnion.phymatodeum,Mastocarpus,Mazzaella.oregona,Mazzaella.parvula,Mazzaella.splendens,Microcladia.borealis,Mytilus.sp.,Neogastroclonium.subarticulatum,Neopolyporolithon.reclinatum,Neorhodomela.larix,Odonthalia.floccosa,Palmaria.hecatensis,Petrocelis,Phyllospadix.spp.,Plocamium.violaceum,Polyneura.latissima,Polysiphonia,Prionitis,Ptilota.filicina,Pyropia,Ralfsioid,Savoiea.robusta,Ulva
7,3,1,1,1,0,6,0,1,2,0,0,0,0,4,0,1,0,0,0,45,0,0,0,3,1,1,0,1,0,0,0,0,0,0,3,0,19,0,0,0,0,8,0,0,0
0,0,1,1,5,1,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,32,0,0,5,15,1,0,0,0,45,0,0,0,0
3,0,0,3,3,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,5,3,0,0,3,0,0,5,0,0,0,0,0,0,0,1,0,10,0,2,0,0,21,0,1,0
0,0,0,2,3,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,3,0,0,0,5,0,24,2,0,0,0,38,0,0,0,1,0,1,0,0,29,0,0,0,1
0,0,0,2,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,3,0,1,1,1,0,12,1,0,0,0,11,12,0,1,9,14,1,0,0,27,1,0,0,1
0,6,0,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,8,1,0,1,2,1,2,1,0,0,0,0,0,0,1,0,52,1,0,0,0,1,1,0,1
9,0,0,12,1,0,0,0,3,6,0,0,0,0,0,1,0,0,1,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,6,0,12,0,3,0,1,1,0,3,1
7,0,0,21,7,0,6,0,9,11,0,0,0,0,0,0,0,0,0,37,9,25,0,2,0,0,0,12,1,0,0,1,0,10,0,0,0,4,0,0,0,0,0,0,0,0
0,5,1,4,0,0,5,0,1,0,0,0,0,0,6,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,1,0,0,0,18,0,0,0
0,2,1,4,0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,12,43,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,6,1,1,1,0,5,0,0,0,0,0,0,0,9,0,1,0,0,0,26,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,1,0,0,0
0,0,0,1,3,0,2,0,0,0,3,4,0,0,0,0,0,0,0,0,0,1,0,0,1,5,3,17,2,0,0,0,1,0,0,1,58,1,0,0,0,33,0,0,0,0
6,0,0,5,1,0,5,0,0,2,0,0,0,0,0,0,0,0,0,14,3,6,0,0,1,1,0,0,1,0,0,1,0,3,0,0,0,3,1,1,0,0,1,0,0,0
0,0,0,2,3,0,0,0,0,1,12,3,0,0,0,1,0,0,0,0,0,2,0,0,0,8,0,0,9,0,0,0,29,3,0,1,3,1,0,0,0,18,1,0,0,0
8,0,0,0,6,0,0,0,0,0,6,3,0,0,0,1,0,0,0,0,0,2,0,0,1,14,0,10,4,0,0,0,1,0,0,0,15,1,2,0,0,7,2,0,0,0
6,0,0,1,1,0,0,0,1,0,10,3,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,6,7,0,0,0,14,0,0,0,32,1,3,0,0,35,6,0,1,0
0,3,0,8,1,0,10,0,0,1,1,1,0,0,6,0,0,0,0,0,5,14,1,1,2,7,0,0,0,0,0,0,1,1,0,1,0,13,0,0,0,4,9,0,0,1
1,0,0,4,1,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,1,15,4,0,0,0,0,12,0,1,0,5,9,0,0,6,6,0,0,1
9,4,0,1,1,0,5,0,1,7,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,6,2,0,0,0,26,0,0,1
0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,58,0,0,1
13,3,0,6,2,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,14,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,5,0,0,0,0,57,0,0,0
0,0,1,0,1,0,1,0,0,1,7,11,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,0,0,34,0,0,0,40,1,0,0,0,40,0,0,0,1
20,2,3,3,2,2,8,0,1,0,0,0,0,0,11,0,0,0,0,0,10,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
0,0,1,0,2,0,1,0,0,1,3,1,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,17,1,0,0,0,2,0,0,1,59,5,0,0,0,45,0,0,1,1
