"","source","taxon","rank","hmsc","taxon_lumped2","non.alga.flag","kelp_fucoid_turf","littler_groups","new_cat","new_cat_simple1","new_cat_simple2","new_cat_simple3","funct_Sep2020","flag"
"95","all","Rhodochorton.purpureum",92,NA,"Rhodochorton purpureum","Algae","filament_turf","filament","red turf","red turf","turf","turf","thin_turf",NA
"96","all","Bangia.sp.",96,NA,"Bangia sp.","Algae","filament","filament","red turf","red turf","turf","turf","thin_turf",NA
"97","all","Cladophora.sericea",96,NA,"Cladophora sericea","Algae","filament_turf","filament","green turf","green turf","turf","turf","thin_turf",NA
"98","all","Laminaria.yezoensis",96,NA,"Laminaria yezoensis","Algae","large_brown","thick leathery","Kelp","Kelp","Kelp","Kelp","large_brown",NA
"99","all","Rhizoclonium.tortuosum",96,NA,"Rhizoclonium tortuosum","Algae","filament_turf","filament","green turf","green turf","turf","turf","thin_turf",NA
"100","all","Desmarestia.aculeata",100,NA,"Desmarestia aculeata","Algae","Desmarestiales","thick leathery","Desmarestia","Desmarestia","Desmarestia","Desmarestia","turf","Ah shit"
"101","all","Herposiphonia.plumula",100,NA,"Herposiphonia plumula","Algae","filament_turf","filament","red turf","red turf","turf","turf","turf",NA
"102","all","Lithothamnion.glaciale",100,NA,"Lithothamnion glaciale","Algae","crustose coralline","crustose","crustose coralline","crustose coralline","crustose coralline","crustose coralline","crust",NA
"103","all","Opuntiella.californica",100,NA,"Opuntiella californica","Algae","blade","thick leathery","blade","blade","blade","blade","blade","could also be turf"
"104","all","Pododesmus.sp.",100,NA,"Pododesmus sp.","Animal",NA,NA,NA,NA,NA,NA,NA,NA
"105","all","Soranthera.ulvoidea",100,NA,"Soranthera ulvoidea","Algae","brown turf","sheet","brown turf","brown turf","turf","turf","turf",NA
"106","all","Sphacelaria.rigidula",100,NA,"Sphacelaria rigidula","Algae","filament","filament","brown turf","brown turf","turf","turf","thin_turf",NA
"107","all","Callophyllis.sp.",107,NA,"Callophyllis sp.","Algae","red turf","sheet","red turf","red turf","turf","turf","turf",NA
"108","all","Chaetomorpha.cannabina",107,NA,"Chaetomorpha cannabina","Algae","filament","filament","filament","filament","filament","filament","thin_turf",NA
"109","all","Monostroma.grevillei",107,NA,"Monostroma grevillei","Algae","blade","sheet","green blade","blade","green blade","blade","blade",NA
"110","all","Neorhodomela.aculeata",107,NA,"Neorhodomela aculeata","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"111","all","Odonthalia.floccosa.f..comosa",107,NA,"Odonthalia floccosa f. comosa","Algae","red turf","finely branching","red turf","red turf","turf","turf","turf",NA
"112","all","Plocamium.pacificum",107,NA,"Plocamium pacificum","Algae","red turf","finely branching","red turf","red turf","turf","turf","thin_turf",NA
"113","all","Pterocladiella.caloglossoides",107,NA,"Pterocladiella caloglossoides","Algae","red turf","finely branching","red turf","red turf","turf","turf","thin_turf",NA
"114","all","Styela.sp.",107,NA,"Styela sp.","Animal",NA,NA,NA,NA,NA,NA,NA,NA
