"","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"50",50,1173,1173,1175,3,1981-03-18,1981-03-18,1981-03-20,3.6135,4.0063,0.3415,10.8406,0.3693,0.751,0.3315,1.1078,12.6667,13,0.2887,38,2.4415,0.5599
"51",51,1179,1179,1179,1,1981-03-24,1981-03-24,1981-03-24,3.6337,3.6337,NA,3.6337,0.4855,0.4855,NA,0.4855,13,13,NA,13,2.9369,3.0637
"52",52,1200,1200,1200,1,1981-04-14,1981-04-14,1981-04-14,3.4857,3.4857,NA,3.4857,0.2348,0.2348,NA,0.2348,14.5,14.5,NA,14.5,5.4074,2.0961
"53",53,1244,1244,1244,1,1981-05-28,1981-05-28,1981-05-28,3.0273,3.0273,NA,3.0273,0.1181,0.1181,NA,0.1181,18,18,NA,18,2.4359,2.0642
"54",54,1317,1317,1317,1,1981-08-09,1981-08-09,1981-08-09,2.9832,2.9832,NA,2.9832,0.1661,0.1661,NA,0.1661,21.5,21.5,NA,21.5,1.5265,1.4702
"55",55,1321,1322,1322,2,1981-08-13,1981-08-14,1981-08-14,3.3853,3.6557,0.3823,6.7707,0.572,0.8381,0.3764,1.1439,21.75,22,0.3536,43.5,1.0392,1.4568
"56",56,1345,1347,1347,3,1981-09-06,1981-09-08,1981-09-08,3.19,4.4399,1.1024,9.57,0.5304,1.7803,1.1025,1.5913,19.8333,21,1.0408,59.5,1.2829,4.4177
"57",57,1353,1356,1356,4,1981-09-14,1981-09-17,1981-09-17,3.4648,6.2277,2.3271,13.859,0.8503,3.6084,2.3222,3.4013,19.375,22,2.2867,77.5,1.1625,7.4057
"58",58,1386,1386,1386,1,1981-10-17,1981-10-17,1981-10-17,3.8779,3.8779,NA,3.8779,1.1323,1.1323,NA,1.1323,16,16,NA,16,2.6373,3.8671
"59",59,1409,1409,1411,3,1981-11-09,1981-11-09,1981-11-11,6.4646,7.6796,1.4115,19.3939,3.4309,4.6674,1.4326,10.2926,15.6667,17,1.5275,47,5.1197,1.7821
"60",60,1418,1420,1420,3,1981-11-18,1981-11-20,1981-11-20,4.268,4.8658,0.5979,12.8041,0.953,1.5155,0.5615,2.8591,12.5,13,0.5,37.5,1.3982,2.4051
"61",61,1446,1447,1448,3,1981-12-16,1981-12-17,1981-12-18,7.5997,9.267,2.4913,22.7991,3.8272,5.4939,2.4664,11.4817,14.3333,16,2.4664,43,4.6972,2.3051
"62",62,1608,1609,1609,2,1982-05-27,1982-05-28,1982-05-28,4.5594,6.0273,2.076,9.1187,1.6421,3.1181,2.0874,3.2842,19.5,21,2.1213,39,3.1019,4.5642
"63",63,1628,1630,1631,4,1982-06-16,1982-06-18,1982-06-19,4.5748,6.3026,1.2294,18.2992,1.7355,3.4697,1.2372,6.9419,20.75,22.5,1.2583,83,1.654,2.5484
"64",64,1636,1636,1636,1,1982-06-24,1982-06-24,1982-06-24,4.4865,4.4865,NA,4.4865,1.7058,1.7058,NA,1.7058,21,21,NA,21,2.4416,2.5635
"65",65,1640,1640,1640,1,1982-06-28,1982-06-28,1982-06-28,3.7029,3.7029,NA,3.7029,0.9152,0.9152,NA,0.9152,20.5,20.5,NA,20.5,2.4228,2.0762
"66",66,1667,1667,1669,3,1982-07-25,1982-07-25,1982-07-27,5.4931,5.5368,0.0426,16.4794,2.7409,2.8,0.0566,8.2226,24,24,0,72,4.9516,1.2406
"67",67,1720,1720,1721,2,1982-09-16,1982-09-16,1982-09-17,2.9309,3.1341,0.2874,5.8618,0.318,0.5277,0.2965,0.6361,18.75,19,0.3536,37.5,4.0908,0.5728
"68",68,1734,1734,1734,1,1982-09-30,1982-09-30,1982-09-30,2.7025,2.7025,NA,2.7025,0.0445,0.0445,NA,0.0445,17,17,NA,17,0.1277,3.3726
"69",69,1747,1747,1747,1,1982-10-13,1982-10-13,1982-10-13,3.8375,3.8375,NA,3.8375,1.1145,1.1145,NA,1.1145,16.5,16.5,NA,16.5,3.6318,1.3685
"70",70,1767,1767,1767,1,1982-11-02,1982-11-02,1982-11-02,3.3216,3.3216,NA,3.3216,0.4371,0.4371,NA,0.4371,13.5,13.5,NA,13.5,5.1178,0.8795
"71",71,1809,1809,1809,1,1982-12-14,1982-12-14,1982-12-14,4.6764,4.6764,NA,4.6764,0.9787,0.9787,NA,0.9787,11.5,11.5,NA,11.5,1.0296,1.47
"72",72,1843,1843,1844,2,1983-01-17,1983-01-17,1983-01-18,5.8221,6.0898,0.3786,11.6442,1.9331,2.2065,0.3866,3.8662,12.75,13,0.3536,25.5,2.4635,1.5344
"73",73,1850,1851,1854,5,1983-01-24,1983-01-25,1983-01-28,3.9372,6.8577,2.3162,19.6862,-0.0065,2.9206,2.3236,-0.0323,11.1,14,2.3022,55.5,1.64,0.7331
"74",74,1862,1862,1862,1,1983-02-05,1983-02-05,1983-02-05,4.7161,4.7161,NA,4.7161,0.8258,0.8258,NA,0.8258,12,12,NA,12,5.9964,1.0034
"75",75,1873,1873,1873,1,1983-02-16,1983-02-16,1983-02-16,3.9991,3.9991,NA,3.9991,0.2606,0.2606,NA,0.2606,11.5,11.5,NA,11.5,1.9696,4.0296
"76",76,1879,1879,1882,4,1983-02-22,1983-02-22,1983-02-25,4.0072,7.3106,2.2811,16.0286,0.4826,3.7568,2.2666,1.9303,11.75,15,2.2546,47,5.9656,1.1079
"77",77,1893,1893,1897,5,1983-03-08,1983-03-08,1983-03-12,2.263,4.0818,2.0882,11.3149,-1.0019,0.7977,2.0879,-5.0096,10.8,12.5,2.1095,54,2.9387,0.2254
"78",78,1902,1902,1904,3,1983-03-17,1983-03-17,1983-03-19,3.3394,4.0648,1.156,10.0183,0.0843,0.7994,1.1557,0.253,12.3333,13,1.1547,37,1.4429,0.5591
"79",79,1938,1938,1939,2,1983-04-22,1983-04-22,1983-04-23,3.6994,3.7448,0.0641,7.3989,0.2446,0.301,0.0798,0.4891,15.5,15.5,0,31,2.9108,0.2585
"80",80,1944,1944,1944,1,1983-04-28,1983-04-28,1983-04-28,4.1789,4.1789,NA,4.1789,0.6252,0.6252,NA,0.6252,16.5,16.5,NA,16.5,0.9041,1.0971
"81",81,1970,1975,1975,6,1983-05-24,1983-05-29,1983-05-29,5.7936,13.9631,6.0361,34.7616,2.8442,11.0697,6.0738,17.0652,20.6667,29,6.1373,124,1.9319,12.5637
"82",82,2037,2037,2037,1,1983-07-30,1983-07-30,1983-07-30,3.3761,3.3761,NA,3.3761,0.5419,0.5419,NA,0.5419,22,22,NA,22,1.9814,6.5146
"83",83,2064,2064,2064,1,1983-08-26,1983-08-26,1983-08-26,2.8892,2.8892,NA,2.8892,0.0923,0.0923,NA,0.0923,20.5,20.5,NA,20.5,1.0756,1.9216
"84",84,2090,2090,2091,2,1983-09-21,1983-09-21,1983-09-22,3.1793,3.6256,0.6312,6.3585,0.5197,0.9632,0.6273,1.0393,18.5,19,0.7071,37,1.6044,1.392
"85",85,2119,2119,2119,1,1983-10-20,1983-10-20,1983-10-20,2.767,2.767,NA,2.767,0.0677,0.0677,NA,0.0677,14.5,14.5,NA,14.5,2.6267,1.8747
"86",86,2131,2131,2131,1,1983-11-01,1983-11-01,1983-11-01,3.2038,3.2038,NA,3.2038,0.3403,0.3403,NA,0.3403,13.5,13.5,NA,13.5,0.6168,1.3822
"87",87,2140,2140,2140,1,1983-11-10,1983-11-10,1983-11-10,7.298,7.298,NA,7.298,4.2642,4.2642,NA,4.2642,16.5,16.5,NA,16.5,5.6184,5.3817
"88",88,2145,2145,2145,1,1983-11-15,1983-11-15,1983-11-15,3.8654,3.8654,NA,3.8654,0.6684,0.6684,NA,0.6684,12.5,12.5,NA,12.5,2.6082,0.8956
"89",89,2194,2194,2194,1,1984-01-03,1984-01-03,1984-01-03,4.4072,4.4072,NA,4.4072,0.4242,0.4242,NA,0.4242,11,11,NA,11,1.9877,1.0144
"90",90,2200,2200,2200,1,1984-01-09,1984-01-09,1984-01-09,5.3019,5.3019,NA,5.3019,1.3435,1.3435,NA,1.3435,12,12,NA,12,1.4801,3.5219
"91",91,2229,2229,2229,1,1984-02-07,1984-02-07,1984-02-07,5.2062,5.2062,NA,5.2062,1.3265,1.3265,NA,1.3265,12.5,12.5,NA,12.5,1.4935,1.5112
"92",92,2240,2241,2241,2,1984-02-18,1984-02-19,1984-02-19,4.9246,5.409,0.685,9.8492,1.2756,1.7829,0.7174,2.5513,12.5,13,0.7071,25,1.6361,3.5315
"93",93,2257,2259,2260,4,1984-03-06,1984-03-08,1984-03-09,4.6124,5.5818,1.0846,18.4495,1.3239,2.2977,1.0969,5.2958,13,14,1.1547,52,0.9394,1.0605
"94",94,2271,2271,2272,2,1984-03-20,1984-03-20,1984-03-21,3.8565,3.8871,0.0433,7.713,0.63,0.6542,0.0342,1.26,13,13,0,26,1.9399,0.8955
"95",95,2449,2449,2449,1,1984-09-14,1984-09-14,1984-09-14,3.9539,3.9539,NA,3.9539,1.3342,1.3342,NA,1.3342,20,20,NA,20,3.59,5.9106
"96",96,2471,2471,2471,1,1984-10-06,1984-10-06,1984-10-06,3.9451,3.9451,NA,3.9451,1.2958,1.2958,NA,1.2958,17.5,17.5,NA,17.5,2.6188,3.378
"97",97,2513,2513,2513,1,1984-11-17,1984-11-17,1984-11-17,3.5707,3.5707,NA,3.5707,0.3281,0.3281,NA,0.3281,12,12,NA,12,4.6009,3.4007
"98",98,2518,2518,2518,1,1984-11-22,1984-11-22,1984-11-22,3.5499,3.5499,NA,3.5499,0.1445,0.1445,NA,0.1445,11.5,11.5,NA,11.5,1.0892,5.9164
"99",99,2568,2568,2568,1,1985-01-11,1985-01-11,1985-01-11,7.2587,7.2587,NA,7.2587,3.3126,3.3126,NA,3.3126,14,14,NA,14,5.4787,6.0228
"100",100,2573,2573,2573,1,1985-01-16,1985-01-16,1985-01-16,5.1263,5.1263,NA,5.1263,1.2319,1.2319,NA,1.2319,12,12,NA,12,1.968,3.0365
"101",101,2601,2601,2601,1,1985-02-13,1985-02-13,1985-02-13,5.5881,5.5881,NA,5.5881,1.809,1.809,NA,1.809,13,13,NA,13,6.4738,4.0288
"102",102,2653,2654,2654,2,1985-04-06,1985-04-07,1985-04-07,3.4153,3.624,0.2952,6.8305,0.301,0.5106,0.2965,0.6019,13.75,14,0.3536,27.5,1.585,3.0865
"103",103,2693,2693,2694,2,1985-05-16,1985-05-16,1985-05-17,6.7138,7.0099,0.4188,13.4275,3.4903,3.7645,0.3878,6.9806,20.75,21,0.3536,41.5,4.4085,3.2588
"104",104,2725,2725,2726,2,1985-06-17,1985-06-17,1985-06-18,5.3254,6.3482,1.4465,10.6508,2.4858,3.5019,1.437,4.9716,21.5,22.5,1.4142,43,5.9546,2.8797
"105",105,2740,2740,2740,1,1985-07-02,1985-07-02,1985-07-02,4.4083,4.4083,NA,4.4083,1.6248,1.6248,NA,1.6248,21.5,21.5,NA,21.5,2.928,3.0725
"106",106,2747,2747,2747,1,1985-07-09,1985-07-09,1985-07-09,3.4323,3.4323,NA,3.4323,0.6458,0.6458,NA,0.6458,21,21,NA,21,1.9422,2.5584
"107",107,2766,2766,2766,1,1985-07-28,1985-07-28,1985-07-28,2.9191,2.9191,NA,2.9191,0.1387,0.1387,NA,0.1387,21.5,21.5,NA,21.5,2.4675,3.0244
"108",108,2784,2785,2785,2,1985-08-15,1985-08-16,1985-08-16,3.2218,3.2448,0.0325,6.4437,0.3864,0.4026,0.0228,0.7729,21.5,21.5,0,43,0.545,5.9507
"109",109,2827,2827,2827,1,1985-09-27,1985-09-27,1985-09-27,3.3197,3.3197,NA,3.3197,0.6558,0.6558,NA,0.6558,18,18,NA,18,3.1233,2.3732
"110",110,2894,2894,2894,1,1985-12-03,1985-12-03,1985-12-03,4.7834,4.7834,NA,4.7834,1.2413,1.2413,NA,1.2413,12,12,NA,12,9.5522,1.4521
"111",111,2928,2934,2934,7,1986-01-06,1986-01-12,1986-01-12,4.9428,12.7359,3.8954,34.5993,0.98,8.7965,3.9059,6.8603,11.6429,19.5,3.9234,81.5,1.5181,11.0234
"112",112,2947,2947,2947,1,1986-01-25,1986-01-25,1986-01-25,4.3577,4.3577,NA,4.3577,0.4206,0.4206,NA,0.4206,11.5,11.5,NA,11.5,3.9733,1.5246
"113",113,2953,2953,2953,1,1986-01-31,1986-01-31,1986-01-31,4.7573,4.7573,NA,4.7573,0.8529,0.8529,NA,0.8529,12,12,NA,12,4.4855,2.0126
"114",114,2979,2980,2981,3,1986-02-26,1986-02-27,1986-02-28,5.7859,8.6204,2.5802,17.3576,2.3374,5.1761,2.5774,7.0123,13.6667,16.5,2.5658,41,3.7916,3.8964
"115",115,2990,2991,2991,2,1986-03-09,1986-03-10,1986-03-10,3.7411,3.9616,0.3118,7.4822,0.4752,0.701,0.3193,0.9504,12.25,12.5,0.3536,24.5,1.2736,3.5572
"116",116,3000,3001,3001,2,1986-03-19,1986-03-20,1986-03-20,5.9172,8.3871,3.493,11.8343,2.6784,5.1542,3.5013,5.3568,15,17.5,3.5355,30,4.4402,7.0612
"117",117,3076,3076,3076,1,1986-06-03,1986-06-03,1986-06-03,3.1408,3.1408,NA,3.1408,0.31,0.31,NA,0.31,18.5,18.5,NA,18.5,1.9368,2.0612
"118",118,3086,3086,3086,1,1986-06-13,1986-06-13,1986-06-13,7.0395,7.0395,NA,7.0395,4.1826,4.1826,NA,4.1826,23,23,NA,23,4.4496,8.0495
"119",119,3099,3099,3099,1,1986-06-26,1986-06-26,1986-06-26,2.8534,2.8534,NA,2.8534,0.0606,0.0606,NA,0.0606,19.5,19.5,NA,19.5,2.9304,2.0733
"120",120,3140,3140,3142,3,1986-08-06,1986-08-06,1986-08-08,3.4325,3.9088,0.4888,10.2975,0.6016,1.0694,0.4847,1.8049,22,22.5,0.5,66,3.0215,1.1755
"121",121,3154,3154,3154,1,1986-08-20,1986-08-20,1986-08-20,2.9658,2.9658,NA,2.9658,0.1413,0.1413,NA,0.1413,21,21,NA,21,3.0602,0.4356
"122",122,3160,3160,3160,1,1986-08-26,1986-08-26,1986-08-26,4.3892,4.3892,NA,4.3892,1.5923,1.5923,NA,1.5923,22,22,NA,22,3.0756,1.9216
"123",123,3209,3209,3209,1,1986-10-14,1986-10-14,1986-10-14,4.469,4.469,NA,4.469,1.7435,1.7435,NA,1.7435,17,17,NA,17,3.6315,5.3657
"124",124,3216,3217,3221,6,1986-10-21,1986-10-22,1986-10-26,3.8677,5.0168,1.4299,23.206,1.1565,2.3258,1.4247,6.9387,15.1667,16.5,1.4024,91,1.7914,0.4339
"125",125,3227,3227,3227,1,1986-11-01,1986-11-01,1986-11-01,3.2038,3.2038,NA,3.2038,0.3403,0.3403,NA,0.3403,13.5,13.5,NA,13.5,2.6168,1.8822
"126",126,3248,3249,3249,2,1986-11-22,1986-11-23,1986-11-23,3.5917,3.6335,0.0591,7.1834,0.1768,0.209,0.0456,0.3535,11.5,11.5,0,23,1.0855,3.4192
"127",127,3275,3275,3275,1,1986-12-19,1986-12-19,1986-12-19,5.3225,5.3225,NA,5.3225,1.4939,1.4939,NA,1.4939,12,12,NA,12,4.5263,1.4777
"128",128,3280,3283,3284,5,1986-12-24,1986-12-27,1986-12-28,4.3284,6.9389,1.7854,21.642,0.3981,3.0016,1.7817,1.9903,10.9,13.5,1.7819,54.5,1.0108,3.1628
"129",129,3295,3295,3296,2,1987-01-08,1987-01-08,1987-01-09,4.8118,4.8218,0.0141,9.6237,0.8435,0.8435,0,1.687,11.5,11.5,0,23,2.9804,0.6872
"130",130,3321,3322,3322,2,1987-02-03,1987-02-04,1987-02-04,5.7227,6.2197,0.7028,11.4455,1.819,2.319,0.7071,3.638,13,13.5,0.7071,26,2.1597,2.5036
"131",131,3326,3326,3333,8,1987-02-08,1987-02-08,1987-02-15,3.9576,6.395,2.4211,31.6609,0.1428,2.5265,2.4066,1.1425,11.3375,13.7,2.4041,90.7,2.8888,0.4508
"132",132,3349,3349,3359,11,1987-03-03,1987-03-03,1987-03-13,2.3099,4.3758,1.7665,25.4087,-0.9807,1.0148,1.752,-10.788,10.7273,12.5,1.7083,118,3.4473,0.2252
"133",133,3375,3378,3379,5,1987-03-29,1987-04-01,1987-04-02,5.2626,7.0908,1.578,26.3132,2.18,4.0032,1.5777,10.9,15.1,17,1.5572,75.5,0.7864,2.741
"134",134,3414,3414,3414,1,1987-05-07,1987-05-07,1987-05-07,3.8251,3.8251,NA,3.8251,0.2952,0.2952,NA,0.2952,17,17,NA,17,0.4057,1.0926
"135",135,3467,3467,3467,1,1987-06-29,1987-06-29,1987-06-29,3.6267,3.6267,NA,3.6267,0.8506,0.8506,NA,0.8506,20.5,20.5,NA,20.5,0.9238,3.5736
"136",136,3485,3486,3486,2,1987-07-17,1987-07-18,1987-07-18,7.4433,8.4143,1.3733,14.8865,4.7272,5.6958,1.3697,9.4545,25.5,26.5,1.4142,51,2.6093,8.0576
"137",137,3509,3509,3509,1,1987-08-10,1987-08-10,1987-08-10,3.513,3.513,NA,3.513,0.6987,0.6987,NA,0.6987,22,22,NA,22,6.5298,6.4682
"138",138,3523,3523,3523,1,1987-08-24,1987-08-24,1987-08-24,4.7409,4.7409,NA,4.7409,1.9148,1.9148,NA,1.9148,22.5,22.5,NA,22.5,4.5716,5.9273
"139",139,3530,3530,3530,1,1987-08-31,1987-08-31,1987-08-31,5.7878,5.7878,NA,5.7878,3.0923,3.0923,NA,3.0923,23,23,NA,23,6.0805,7.9195
"140",140,3551,3551,3552,2,1987-09-21,1987-09-21,1987-09-22,4.6793,5.6256,1.3383,9.3585,2.0197,2.9632,1.3344,4.0393,20,21,1.4142,40,4.6044,1.892
"141",141,3559,3559,3561,3,1987-09-29,1987-09-29,1987-10-01,3.3691,4.0748,0.6389,10.1072,0.7106,1.4139,0.6367,2.1319,17.6667,18.5,0.7638,53,4.6283,0.9727
