"","event_no","index_start","index_peak","index_end","duration","date_start","date_peak","date_end","intensity_mean","intensity_max","intensity_var","intensity_cumulative","intensity_mean_relThresh","intensity_max_relThresh","intensity_var_relThresh","intensity_cumulative_relThresh","intensity_mean_abs","intensity_max_abs","intensity_var_abs","intensity_cumulative_abs","rate_onset","rate_decline"
"28",28,10197,10198,10201,5,1981-12-01,1981-12-02,1981-12-05,1.4956,1.7586,0.2194,7.4781,0.3177,0.5742,0.2142,1.5886,9.3,9.6,0.255,46.5,0.3045,0.1774
"29",29,10214,10217,10223,10,1981-12-18,1981-12-21,1981-12-27,1.3878,1.6351,0.1743,13.878,0.2861,0.5403,0.1756,2.8613,8.62,8.9,0.1814,86.2,0.1529,0.1007
"30",30,10633,10635,10644,12,1983-02-10,1983-02-12,1983-02-21,1.4579,1.6946,0.1546,17.4951,0.3935,0.6556,0.1593,4.7226,8.1667,8.4,0.1557,98,0.2403,0.0385
"31",31,10661,10667,10674,14,1983-03-10,1983-03-16,1983-03-23,1.4896,2.0008,0.2433,20.8538,0.4781,0.9968,0.2472,6.6928,8.5071,9,0.2495,119.1,0.1587,0.1313
"32",32,10678,10724,10727,50,1983-03-27,1983-05-12,1983-05-15,1.7228,2.6325,0.3213,86.1421,0.5552,1.3016,0.3069,27.7613,10.05,12.1,0.8643,502.5,0.0355,0.3744
"33",33,10740,10742,10744,5,1983-05-28,1983-05-30,1983-06-01,2.078,2.7382,0.5197,10.3902,0.791,1.4484,0.5185,3.9548,12.64,13.3,0.5459,63.2,0.5568,0.7039
"34",34,10770,10775,10782,13,1983-06-27,1983-07-02,1983-07-09,1.756,2.5311,0.3776,22.8278,0.4695,1.2532,0.3804,6.1031,14.2615,15,0.4194,185.4,0.2781,0.1611
"35",35,10795,10798,10806,12,1983-07-22,1983-07-25,1983-08-02,1.9011,2.2801,0.2183,22.8128,0.5422,0.9258,0.2169,6.5063,15.1667,15.5,0.2348,182,0.2902,0.1112
"36",36,10810,10812,10817,8,1983-08-06,1983-08-08,1983-08-13,1.8202,2.3831,0.3046,14.5619,0.4897,1.0516,0.3043,3.9178,15.25,15.8,0.2976,122,0.3914,0.1989
"37",37,10833,10835,10838,6,1983-08-29,1983-08-31,1983-09-03,1.7887,2.2754,0.3056,10.7324,0.4449,0.9323,0.3049,2.6694,15.1,15.6,0.3033,90.6,0.3593,0.2898
"38",38,10979,10984,10990,12,1984-01-22,1984-01-27,1984-02-02,1.5412,1.6761,0.1287,18.495,0.4285,0.5629,0.1283,5.142,8.2667,8.4,0.1303,99.2,0.1511,0.0592
"39",39,11023,11036,11039,17,1984-03-06,1984-03-19,1984-03-22,1.1712,1.3317,0.1167,19.9099,0.1668,0.325,0.1217,2.8363,8.1412,8.4,0.1372,138.4,0.0304,0.0826
"40",40,11190,11191,11195,6,1984-08-20,1984-08-21,1984-08-25,1.5528,1.7395,0.1225,9.3167,0.2237,0.4129,0.1229,1.342,15,15.2,0.1265,90,0.338,0.0905
"41",41,12046,12048,12052,7,1986-12-24,1986-12-26,1986-12-30,1.4831,1.7471,0.2107,10.3814,0.3671,0.6339,0.2146,2.5694,8.6143,8.9,0.241,60.3,0.2223,0.212
"42",42,12101,12102,12105,5,1987-02-17,1987-02-18,1987-02-21,1.4071,1.6902,0.2304,7.0353,0.3692,0.646,0.226,1.8459,8.12,8.4,0.228,40.6,0.3648,0.2605
"43",43,12142,12143,12152,11,1987-03-30,1987-03-31,1987-04-09,1.3577,1.6025,0.1602,14.9343,0.3013,0.5435,0.1591,3.3146,8.8909,9,0.0944,97.8,0.3368,0.0569
"44",44,12353,12355,12357,5,1987-10-27,1987-10-29,1987-10-31,1.5689,1.8496,0.2988,7.8446,0.4864,0.7677,0.3011,2.4322,11.32,11.6,0.3347,56.6,0.4731,0.3686
"45",45,12394,12396,12398,5,1987-12-07,1987-12-09,1987-12-11,1.5461,2.0066,0.279,7.7304,0.4106,0.8726,0.2768,2.0532,9.14,9.6,0.2966,45.7,0.3734,0.3683
"46",46,12435,12443,12444,10,1988-01-17,1988-01-25,1988-01-26,1.4036,1.5665,0.1554,14.0356,0.2755,0.45,0.1607,2.7549,8.16,8.3,0.143,81.6,0.0484,0.2618
"47",47,12549,12550,12553,5,1988-05-10,1988-05-11,1988-05-14,1.4122,1.4923,0.0631,7.0608,0.0822,0.1629,0.0648,0.4112,10.88,11,0.0837,54.4,0.0742,0.0744
"48",48,12915,12916,12919,5,1989-05-11,1989-05-12,1989-05-15,1.7322,2.2325,0.3303,8.6611,0.401,0.9016,0.3304,2.0048,11.26,11.7,0.3209,56.3,0.6737,0.2887
"49",49,12982,12990,12998,17,1989-07-17,1989-07-25,1989-08-02,1.7565,2.4801,0.3842,29.8609,0.4007,1.1258,0.3853,6.8127,14.9647,15.8,0.3983,254.4,0.1391,0.1288
"50",50,13141,13143,13146,6,1989-12-23,1989-12-25,1989-12-28,1.5859,1.8245,0.2443,9.5155,0.4753,0.7145,0.2501,2.8516,8.75,9,0.2811,52.5,0.1822,0.1778
"51",51,13303,13307,13307,5,1990-06-03,1990-06-07,1990-06-07,1.5534,1.8263,0.2411,7.7668,0.2839,0.5613,0.245,1.4195,12.5,12.9,0.3391,62.5,0.1694,0.962
"52",52,13334,13335,13339,6,1990-07-04,1990-07-05,1990-07-09,1.8051,1.9984,0.243,10.8307,0.4968,0.7032,0.2554,2.9806,14.4667,14.6,0.1862,86.8,0.3233,0.1835
"53",53,13374,13379,13381,8,1990-08-13,1990-08-18,1990-08-20,2.0329,2.8287,0.4952,16.2632,0.7107,1.5081,0.4965,5.6856,15.5,16.3,0.4986,124,0.2787,0.6967
"54",54,14389,14390,14402,14,1993-05-24,1993-05-25,1993-06-06,2.1612,3.7511,0.5687,30.2575,0.8764,2.4516,0.5663,12.2695,12.7571,14,0.5598,178.6,1.5061,0.1835
"55",55,14408,14415,14417,10,1993-06-12,1993-06-19,1993-06-21,1.8916,2.4151,0.4101,18.9162,0.6395,1.1565,0.4103,6.3952,13.53,14.2,0.4473,135.3,0.1948,0.5171
"56",56,14826,14830,14830,5,1994-08-04,1994-08-08,1994-08-08,1.9406,2.2831,0.2437,9.7028,0.6013,0.9516,0.2472,3.0065,15.34,15.7,0.251,76.7,0.1353,1.0091
"57",57,14836,14841,14852,17,1994-08-14,1994-08-19,1994-08-30,1.7767,2.2307,0.2608,30.2043,0.4475,0.9081,0.264,7.6082,15.2118,15.7,0.2804,258.6,0.1984,0.0883
"58",58,15231,15231,15237,7,1995-09-13,1995-09-13,1995-09-19,2.085,4.506,1.0966,14.5951,0.75,3.1629,1.0922,5.2499,14.8286,17.4,1.1772,103.8,3.6448,0.5092
"59",59,15244,15246,15252,9,1995-09-26,1995-09-28,1995-10-04,1.9031,2.5947,0.4341,17.128,0.6799,1.35,0.4095,6.1193,13.7667,14.6,0.6124,123.9,0.4485,0.206
"60",60,15870,15872,15874,5,1997-06-13,1997-06-15,1997-06-17,1.9689,2.249,0.2023,9.8444,0.7213,1.0032,0.2043,3.6064,13.52,13.8,0.2168,67.6,0.3213,0.3187
"61",61,15883,15886,15887,5,1997-06-26,1997-06-29,1997-06-30,1.8059,2.3752,0.4556,9.0296,0.5455,1.1145,0.4563,2.7273,14.08,14.7,0.4817,70.4,0.3776,0.8153
"62",62,15903,15905,15907,5,1997-07-16,1997-07-18,1997-07-20,2.0567,2.456,0.3705,10.2836,0.7084,1.1065,0.37,3.5419,15.1,15.5,0.3391,75.5,0.3115,0.4265
"63",63,15918,15923,15925,8,1997-07-31,1997-08-05,1997-08-07,2.7762,3.3091,0.3548,22.2097,1.426,1.9645,0.3592,11.4081,16.15,16.7,0.3665,129.2,0.2791,0.5487
"64",64,15951,15970,15972,22,1997-09-02,1997-09-21,1997-09-23,1.9689,2.4355,0.259,43.3159,0.6329,1.1242,0.2651,13.9243,14.8455,15.2,0.2907,326.6,0.0552,0.3973
"65",65,15976,15977,15985,10,1997-09-27,1997-09-28,1997-10-06,1.4425,1.6947,0.1534,14.4249,0.2356,0.45,0.1309,2.3564,13.2,13.7,0.3432,132,0.3024,0.076
"66",66,15992,16010,16016,25,1997-10-13,1997-10-31,1997-11-06,1.6028,2.1928,0.2643,40.0711,0.5199,1.1,0.2669,12.9984,11.656,12.6,0.5959,291.4,0.0521,0.1859
"67",67,16031,16037,16042,12,1997-11-21,1997-11-27,1997-12-02,1.7952,2.5637,0.4195,21.5427,0.5806,1.3484,0.4211,6.9678,9.8583,10.6,0.4144,118.3,0.1916,0.2521
"68",68,16050,16051,16071,22,1997-12-10,1997-12-11,1997-12-31,1.9612,3.3706,0.7131,43.1471,0.8546,2.25,0.7104,18.8003,9.2474,10.9,0.8113,203.4421,0.9986,0.1102
"69",69,16096,16124,16126,31,1998-01-25,1998-02-22,1998-02-24,1.6965,2.4764,0.319,52.5928,0.6155,1.4589,0.3277,19.0791,8.4097,9.2,0.3197,260.7,0.039,0.5258
"70",70,16140,16141,16179,40,1998-03-10,1998-03-11,1998-04-18,1.4156,2.0962,0.2665,56.6239,0.3674,1.1097,0.2821,14.6945,8.82,9.7,0.3611,352.8,0.6514,0.0286
"71",71,16394,16395,16398,5,1998-11-19,1998-11-20,1998-11-23,1.7922,2.0427,0.1777,8.9612,0.5594,0.8097,0.1777,2.7969,10.1,10.4,0.2236,50.5,0.4197,0.2082
"72",72,16412,16415,16421,10,1998-12-07,1998-12-10,1998-12-16,1.912,2.3388,0.4372,19.1198,0.7948,1.2113,0.4213,7.9484,9.43,9.9,0.51,94.3,0.2759,0.2099
"73",73,16447,16450,16451,5,1999-01-11,1999-01-14,1999-01-15,1.5438,1.9774,0.3326,7.7189,0.4064,0.8387,0.3306,2.0322,8.38,8.8,0.3194,41.9,0.2852,0.5219
"74",74,17012,17015,17018,7,2000-07-29,2000-08-01,2000-08-04,1.7698,2.4531,0.4544,12.3886,0.4101,1.0903,0.4551,2.8709,15.1143,15.8,0.4634,105.8,0.3846,0.454
"75",75,17730,17731,17735,6,2002-07-17,2002-07-18,2002-07-22,1.8666,2.056,0.2175,11.1999,0.5183,0.7065,0.2175,3.1096,14.95,15.1,0.1871,89.7,0.8386,0.1481
"76",76,17846,17867,17867,22,2002-11-10,2002-12-01,2002-12-01,1.9562,2.921,0.4755,43.0367,0.7372,1.729,0.4735,16.2194,10.3182,11.2,0.4425,227,0.0811,2.2624
"77",77,17879,17898,17909,31,2002-12-13,2003-01-01,2003-01-12,1.6892,3.1718,0.4895,52.3661,0.5732,2.0403,0.4905,17.7695,8.8161,10.2,0.5435,273.3,0.1131,0.2143
"78",78,17943,17948,17951,9,2003-02-15,2003-02-20,2003-02-23,1.3745,1.6845,0.237,12.3708,0.3363,0.6556,0.2405,3.0266,8.0889,8.4,0.2369,72.8,0.18,0.2332
"79",79,18015,18015,18020,6,2003-04-28,2003-04-28,2003-05-03,1.7186,2.2446,0.2671,10.3116,0.4715,1.0226,0.2785,2.8291,10.5167,10.9,0.2229,63.1,2.0438,0.1572
"80",80,18050,18050,18056,7,2003-06-02,2003-06-02,2003-06-08,1.5682,1.7463,0.1505,10.9774,0.2984,0.4661,0.1454,2.0888,12.5143,12.6,0.09,87.6,0.7356,0.1865
"81",81,18100,18104,18104,5,2003-07-22,2003-07-26,2003-07-26,1.5441,1.6575,0.0923,7.7204,0.1916,0.3,0.0906,0.958,14.74,14.9,0.114,73.7,0.0651,0.5215
"82",82,18362,18365,18366,5,2004-04-09,2004-04-12,2004-04-13,1.6368,1.7537,0.1177,8.1841,0.5648,0.6758,0.1085,2.8242,9.44,9.6,0.1817,47.2,0.1715,0.2453
"83",83,18440,18443,18447,8,2004-06-26,2004-06-29,2004-07-03,1.778,2.7752,0.4811,14.2244,0.5113,1.5145,0.4843,4.0902,14.125,15.1,0.4862,113,0.4062,0.4248
"84",84,18460,18466,18467,8,2004-07-16,2004-07-22,2004-07-23,2.9175,3.5518,0.5851,23.3397,1.5689,2.2032,0.5844,12.5515,16,16.7,0.6211,128,0.2807,0.9575
"85",85,18496,18505,18516,21,2004-08-21,2004-08-30,2004-09-10,1.9062,2.6549,0.3724,40.0298,0.5651,1.3145,0.3728,11.8679,15.2,16,0.4461,319.2,0.1932,0.1267
"86",86,18752,18755,18758,7,2005-05-04,2005-05-07,2005-05-10,1.6269,1.9274,0.2302,11.3885,0.3233,0.6242,0.2307,2.2628,10.8,11.1,0.2646,75.6,0.2135,0.1873
"87",87,18772,18774,18779,8,2005-05-24,2005-05-26,2005-05-31,1.9075,3.1899,0.5679,15.26,0.6145,1.8952,0.5696,4.9162,12.3125,13.5,0.5939,98.5,0.7792,0.3268
"88",88,18794,18797,18800,7,2005-06-15,2005-06-18,2005-06-21,2.1025,2.4731,0.2266,14.7173,0.8463,1.2161,0.2232,5.9242,13.8286,14.2,0.3094,96.8,0.3271,0.3288
"89",89,18875,18879,18880,6,2005-09-04,2005-09-08,2005-09-09,1.8379,2.1033,0.1735,11.0271,0.4893,0.7565,0.1727,2.9356,14.9833,15.2,0.1941,89.9,0.1094,0.4297
"90",90,20530,20532,20534,5,2010-03-17,2010-03-19,2010-03-21,1.571,2.1317,0.3965,7.8549,0.5452,1.1032,0.3982,2.7258,8.64,9.2,0.3847,43.2,0.4768,0.5052
"91",91,20575,20575,20582,8,2010-05-01,2010-05-01,2010-05-08,2.4344,3.1735,0.5934,19.4752,1.1506,1.921,0.6105,9.2048,11.4625,12,0.4749,91.7,3.1735,0.2379
"92",92,22203,22208,22211,9,2014-10-15,2014-10-20,2014-10-23,2.1176,2.9803,0.511,19.0584,1.0523,1.9194,0.5149,9.4711,12.6111,13.4,0.4807,113.5,0.3285,0.5107
"93",93,22281,22336,22404,124,2015-01-01,2015-02-25,2015-05-04,2.9929,4.4584,0.638,371.1253,1.906,3.4621,0.673,236.347,10.2073,11.8,0.7393,1265.7,0.0468,0.0465
"94",94,22661,22666,22673,13,2016-01-16,2016-01-21,2016-01-28,2.0301,2.842,0.515,26.3916,0.9035,1.7113,0.51,11.7453,8.7846,9.6,0.5273,114.2,0.2723,0.2136
"95",95,22680,22688,22697,18,2016-02-04,2016-02-12,2016-02-21,1.7198,2.1946,0.353,30.9565,0.6421,1.1556,0.363,11.5572,8.4278,8.9,0.3545,151.7,0.112,0.1162
"96",96,22701,22710,22714,14,2016-02-25,2016-03-05,2016-03-09,1.8264,2.7771,0.67,25.5694,0.8388,1.7895,0.6698,11.7427,8.6274,9.6,0.689,120.7831,0.2261,0.4253
"97",97,22719,22757,22761,43,2016-03-14,2016-04-21,2016-04-25,2.3733,4.5213,0.8284,102.0532,1.3021,3.379,0.8122,55.9888,9.9744,12.8,1.0662,428.9,0.0961,0.6084
"98",98,22768,22778,22791,24,2016-05-02,2016-05-12,2016-05-25,2.8144,4.2325,0.797,67.5465,1.503,2.9016,0.8003,36.0724,12.375,13.9,0.7759,297,0.175,0.1787
"99",99,22822,22825,22827,6,2016-06-25,2016-06-28,2016-06-30,2.0015,2.425,0.2456,12.0093,0.7408,1.1661,0.2461,4.445,14.25,14.7,0.295,85.5,0.2625,0.3291
"100",100,22839,22842,22856,18,2016-07-12,2016-07-15,2016-07-29,1.8658,2.442,0.3603,33.5844,0.5142,1.0935,0.3592,9.2562,14.9667,15.6,0.3757,269.4,0.2969,0.0829
"101",101,22901,22905,22906,6,2016-09-12,2016-09-16,2016-09-17,2.0966,3.0524,0.708,12.5794,0.7573,1.7177,0.7091,4.5435,14.9167,15.8,0.694,89.5,0.4028,1.1799
"102",102,22958,22961,22963,6,2016-11-08,2016-11-11,2016-11-13,1.506,1.8215,0.2344,9.036,0.3129,0.6226,0.2382,1.8775,10.4167,10.8,0.2787,62.5,0.1206,0.1986
"103",103,22978,22982,22983,6,2016-11-28,2016-12-02,2016-12-03,1.6677,2.4586,0.4652,10.0062,0.4728,1.2742,0.4683,2.837,9.5667,10.3,0.4546,57.4,0.2944,1.0628
"104",104,23124,23126,23129,6,2017-04-23,2017-04-25,2017-04-28,1.9825,2.4107,0.3433,11.8949,0.7866,1.2194,0.3482,4.7194,10.5,10.9,0.3406,63,0.4267,0.2984
"105",105,23151,23152,23155,5,2017-05-20,2017-05-21,2017-05-24,1.9521,2.3921,0.3393,9.7606,0.6413,1.0774,0.3349,3.2065,12.02,12.4,0.2588,60.1,0.4729,0.3888
"106",106,23168,23172,23172,5,2017-06-06,2017-06-10,2017-06-10,1.8453,2.1433,0.2533,9.2265,0.5865,0.8968,0.2587,2.9323,12.98,13.4,0.3271,64.9,0.3494,1.2595
"107",107,23184,23186,23188,5,2017-06-22,2017-06-24,2017-06-26,1.9343,2.333,0.2926,9.6717,0.6729,1.0726,0.2925,3.3644,14,14.4,0.255,70,0.3843,0.5126
"108",108,23214,23217,23219,6,2017-07-22,2017-07-25,2017-07-27,1.9094,2.2801,0.3241,11.4564,0.5554,0.9258,0.3245,3.3322,15.1167,15.5,0.3312,90.7,0.2331,0.8216
"109",109,23256,23261,23265,10,2017-09-02,2017-09-07,2017-09-11,2.3492,3.3686,0.7499,23.4919,1.0016,2.021,0.7485,10.0163,15.49,16.5,0.7738,154.9,0.3926,0.4842
"110",110,23469,23473,23473,5,2018-04-03,2018-04-07,2018-04-07,1.4762,2.0631,0.3776,7.3808,0.4213,1.0081,0.3773,2.1065,9.04,9.7,0.3975,45.2,0.1866,2.4391
"111",111,23491,23495,23495,5,2018-04-25,2018-04-29,2018-04-29,1.46,1.6878,0.1683,7.3,0.2474,0.4565,0.166,1.2372,10.06,10.4,0.2074,50.3,0.0778,0.6572
"112",112,23508,23508,23517,10,2018-05-12,2018-05-12,2018-05-21,2.4824,3.2325,0.4477,24.8237,1.1561,1.9016,0.4426,11.5612,12.22,12.7,0.2821,122.2,3.4402,0.1706
"113",113,23586,23586,23590,5,2018-07-29,2018-07-29,2018-08-02,1.9681,2.9981,0.5969,9.8403,0.6045,1.6306,0.5943,3.0225,15.3,16.3,0.5788,76.5,1.982,0.3918
"114",114,23596,23598,23602,7,2018-08-08,2018-08-10,2018-08-14,1.9581,2.1653,0.2131,13.7066,0.6304,0.8355,0.2129,4.4129,15.4,15.6,0.216,107.8,0.2111,0.1513
"115",115,23643,23643,23647,5,2018-09-24,2018-09-24,2018-09-28,1.5982,1.8243,0.1592,7.9911,0.3352,0.5403,0.1451,1.6758,13.74,14.1,0.2608,68.7,0.6643,0.1432
"116",116,23764,23767,23769,6,2019-01-23,2019-01-26,2019-01-28,1.6183,2.0716,0.2705,9.7096,0.5016,0.9565,0.2727,3.0097,8.35,8.8,0.2665,50.1,0.4127,0.376
