taxon,taxon_corrected,lumping_notes,taxon_lumped,non-alga flag,motile_sessile,Notes
Callithamnion pikeanum,Callithamnion pikeanum,,Callithamnion pikeanum,Algae,sessile,
Callophyllis sp.,Callophyllis sp.,,Callophyllis sp.,Algae,sessile,
Ceramium codicola,Ceramium codicola,,Ceramium codicola,Algae,sessile,
Ceramium pacificum,Ceramium pacificum,,Ceramium pacificum,Algae,sessile,
Chaetomorpha cannabina,Chaetomorpha cannabina,,Chaetomorpha cannabina,Algae,sessile,
Chiharaea bodegensis,Chiharaea bodegensis,,Chiharaea bodegensis,Algae,sessile,
Chiharaea rhododactyla,Chiharaea rhododactyla,,Chiharaea rhododactyla,Algae,sessile,
Chiharaea silvae,Chiharaea silvae,,Chiharaea silvae,Algae,sessile,
Chiton,Chiton,,Chiton,Animal,motile,
Chitons,Chiton,,Chiton,Animal,motile,
Other Chiton,Chiton,,Chiton,Animal,motile,
Other chitons,Chiton,,Chiton,Animal,motile,
Chlorostoma,Chlorostoma sp.,,Chlorostoma sp.,Animal,motile,
Chlorostoma snails,Chlorostoma sp.,,Chlorostoma sp.,Animal,motile,
Chthalamus,Chthamalus dalli,Barnacles,Barnacles,Animal,sessile,
Chthamalus,Chthamalus dalli,Barnacles,Barnacles,Animal,sessile,
Chthamalus dalli,Chthamalus dalli,Barnacles,Barnacles,Animal,sessile,
Chthamalus sp.,Chthamalus dalli,Barnacles,Barnacles,Animal,sessile,
Cladophora columbiana,Cladophora columbiana,,Cladophora columbiana,Algae,sessile,
Cladophora sericea,Cladophora sericea,,Cladophora sericea,Algae,sessile,
Cladophora stimpsonii,Cladophora stimpsonii,,Cladophora stimpsonii,Algae,sessile,
Clam,Clam,,Clam,Animal,motile,
"Clam hole, alive",Clam hole,,Clam hole,Animal,motile,
"Clam shell, dead",Clam shell,,Clam shell,Substratum,NA,
Codium fragile,Codium fragile,,Codium fragile,Algae,sessile,
Codium setchelii,Codium setchellii,,Codium setchellii,Algae,sessile,
Codium setchellii,Codium setchellii,,Codium setchellii,Algae,sessile,
Collinsiella tuberculata,Collinsiella tuberculata,,Collinsiella tuberculata,Algae,sessile,
Colonial Diatoms,Colonial Diatoms,,Colonial Diatoms,Algae,sessile,
"Diatoms, colonial",Colonial Diatoms,,Colonial Diatoms,Algae,sessile,
Colpomenia bullosa,Colpomenia bullosa,,Colpomenia bullosa,Algae,sessile,
Colpomenia peregrina,Colpomenia peregrina,,Colpomenia peregrina,Algae,sessile,
Constantinea subulifera,Constantinea subulifera,,Constantinea subulifera,Algae,sessile,
Corallina arbuscula,Corallina arbuscula,Corallina,Corallina,Algae,sessile,
Corallina frondescens,Corallina frondescens,Corallina,Corallina,Algae,sessile,
Corallina officianalis,Corallina officinalis,Corallina,Corallina,Algae,sessile,
Corallina officinalis,Corallina officinalis,Corallina,Corallina,Algae,sessile,
Corallina,Corallina sp.,Corallina,Corallina,Algae,sessile,
Corallina sp.,Corallina sp.,Corallina,Corallina,Algae,sessile,
Corallina sp. 2,Corallina sp.,Corallina,Corallina,Algae,sessile,
Corallina sp.1 california,Corallina sp.,Corallina,Corallina,Algae,sessile,
Corallina sp.2,Corallina sp.,Corallina,Corallina,Algae,sessile,
Corallina sp.1 frondescens,Corallina sp.1 frondescens,Corallina,Corallina,Algae,sessile,
Corallina sp.2 frondescens,Corallina sp.2 frondescens,Corallina,Corallina,Algae,sessile,
Corallina vancouveriensis,Corallina vancouveriensis,Corallina,Corallina,Algae,sessile,
"Corallina crust, unknown",Coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
"Coralline crust, unknown",Coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
Encrusting coralline,coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
Encrusting corallines,coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
Encrusting Corraline,coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
Unknown coralline crust,coralline crust,#assumed to be different species than identifiable crusts,Unknown CCA,Algae,sessile,
Costaria costata,Costaria costata,,Costaria costata,Algae,sessile,
Sculpin,Cottoidea,,Cottoidea,Animal,motile,
Tidepool sculpin,Cottoidea,,Cottoidea,Animal,motile,
Crab,Crab,,Crab,Animal,motile,
Crusticorallina muricata,Crusticorallina muricata,,Crusticorallina muricata,Algae,sessile,
Crusticorallina muricatum,Crusticorallina muricata,,Crusticorallina muricata,Algae,sessile,
Cryptochiton,Cryptochiton,,Cryptochiton,Animal,motile,
Cryptosiphonia woodii,Cryptosiphonia woodii,,Cryptosiphonia woodii,Algae,sessile,
Orange sea cucumber,Cucumaria miniata,,Cucumaria miniata,Animal,motile,
Cumathamnion decipiens,Cumathamnion decipiens,,Cumathamnion decipiens,Algae,sessile,
Delesseria decipiens,Cumathamnion decipiens,,Cumathamnion decipiens,Algae,sessile,
Dermasterias,Dermasterias,,Dermasterias,Animal,motile,
Desmarestia aculeata,Desmarestia aculeata,,Desmarestia aculeata,Algae,sessile,
Desmarestia ligulata,Desmarestia ligulata,,Desmarestia ligulata,Algae,sessile,
Dictyosiphon,Dictyosiphon foeniculaceus,,Dictyosiphon foeniculaceus,Algae,sessile,
Dictyosiphon foeniculaceus,Dictyosiphon foeniculaceus,,Dictyosiphon foeniculaceus,Algae,sessile,
Dilsea,Dilsea californica,,Dilsea californica,Algae,sessile,
Dilsea californica,Dilsea californica,,Dilsea californica,Algae,sessile,
Ectocarpus commensalis,Ectocarpus commensalis,,Ectocarpus commensalis,Algae,sessile,
Ectocarpus siliculosus,Ectocarpus siliculosus,,Ectocarpus siliculosus,Algae,sessile,
Ectocarpus,Ectocarpus sp.,,Ectocarpus sp.,Algae,sessile,
Egregia menziesii,Egregia menziesii,,Egregia menziesii,Algae,sessile,
Elachista fucicola,Elachista fucicola,,Elachista fucicola,Algae,sessile,
Endocladia muricata,Endocladia muricata,,Endocladia muricata,Algae,sessile,
Erythrotrichia carnea,Erythrotrichia carnea,,Erythrotrichia carnea,Algae,sessile,
Farlowia mollis,Farlowia mollis,,Farlowia mollis,Algae,sessile,
Fauchea sp.,Fauchea sp.,,Fauchea sp.,Algae,sessile,
Feather duster worm,Feather duster worm,,Feather duster worm,Animal,sessile,
Feldmannia irregularis,Feldmannia irregularis,,Feldmannia irregularis,Algae,sessile,
Fish,Fish,,Fish,Animal,motile,
Flustralidra,Flustralidra,,Flustralidra,Animal,sessile,
Flustrella,Flustralidra,,Flustralidra,Animal,sessile,
Frederikia sp.,Frederikia sp.,,Frederikia sp.,Algae,sessile,
Fucus distichus,Fucus distichus,,Fucus distichus,Algae,sessile,
Fucus distichus subsp. evanescens,Fucus distichus,,Fucus distichus,Algae,sessile,
Gammaridae,Gammaridae,,Gammaridae,Animal,motile,
Gelidium sp.,Gelidium sp.,,Gelidium sp.,Algae,sessile,
Gloiopeltis furcata,Gloiopeltis furcata,,Gloiopeltis furcata,Algae,sessile,
Gobiosox,Gobiesox,,Gobiesox,Animal,motile,
Gobisox,Gobiesox,,Gobiesox,Animal,motile,
Gracilaria pacifica,Gracilaria pacifica,,Gracilaria pacifica,Algae,sessile,
Halichondria,Halichondria,Halichondria,Halichondria,Animal,sessile,
Halichondria panicea,Halichondria panicea,Halichondria,Halichondria,Animal,sessile,
Haliclona,Haliclona,,Haliclona,Animal,sessile,
Halosaccion glandiforme,Halosaccion glandiforme,,Halosaccion glandiforme,Algae,sessile,
Cf. Hapalogaster mertensii,Haplogaster sp.,,Haplogaster sp.,Animal,motile,
Hemigrapsis ?,Hemigrapsis sp.,,Hemigrapsis sp.,Animal,motile,
Hemigrapsis sp. ?,Hemigrapsis sp.,,Hemigrapsis sp.,Animal,motile,
Hemigrapsus,Hemigrapsis sp.,,Hemigrapsis sp.,Animal,motile,
Shore Crab,Hemigrapsis sp.,,Hemigrapsis sp.,Animal,motile,
Small crab,Hemigrapsis sp.,,Hemigrapsis sp.,Animal,motile,
Henricia,Henricia,,Henricia,Animal,motile,
Herposiphonia plumula,Herposiphonia plumula,,Herposiphonia plumula,Algae,sessile,
Hildenbrandia occidentalis,Hildenbrandia occidentalis,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia thick,Hildenbrandia occidentalis,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia rubra,Hildenbrandia rubra,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia sp.,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hildenbrandia transparent,Hildenbrandia sp.,Hildenbrandia,Hildenbrandia,Algae,sessile,
Hollenbergia subulata,Hollenbergia subulata,,Hollenbergia subulata,Algae,sessile,
Erect hydroid,Hydroid,,Hydroid,Animal,sessile,
Hydroid,Hydroid,,Hydroid,Animal,sessile,
Hymenena setchellii,Hymenena setchellii,Hymenena,Hymenena,Algae,sessile,
Cryptopleura,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Hymenena / Cryptopleura sp.,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Hymenena sp.,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Hymenena/Cryptopleura,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Hymenena/Cryptopleura curly,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Nitophyllum dotyi,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Nitophyllum dotyi ?,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Nitophyllum sp.,Hymenena sp.,Hymenena,Hymenena,Algae,sessile,
Isopoda,Isopoda,,Isopoda,Animal,motile,
Jingle,Jingle,,Jingle,Animal,sessile,
Johansenia macmillanii,Johansenia macmillanii,,Johansenia macmillanii,Algae,sessile,
Katharina,Katharina tunicata,,Katharina tunicata,Animal,motile,
Katharina tunicata,Katharina tunicata,,Katharina tunicata,Animal,motile,
Kornmannia leptoderma,Kornmannia leptoderma,,Kornmannia leptoderma,Algae,sessile,
Lacuna,Lacuna sp.,,Lacuna sp.,Animal,motile,
Laminaria setchellii,Laminaria setchellii,,Laminaria setchellii,Algae,sessile,
Laminaria yezoensis,Laminaria yezoensis,,Laminaria yezoensis,Algae,sessile,
Leathesia marina,Leathesia marina,,Leathesia marina,Algae,sessile,
Leptasterias,Leptasterias sp.,,Leptasterias sp.,Animal,motile,
Leptasterius,Leptasterias sp.,,Leptasterias sp.,Animal,motile,
Leptofauchea sp.,Leptofauchea sp.,,Leptofauchea sp.,Algae,sessile,
Leptofauscia,Leptofauchea sp.,,Leptofauchea sp.,Algae,sessile,
Ligia,Ligia sp.,,Ligia sp.,Animal,motile,
Limpet,Limpet,,Limpet,Animal,motile,
Lithophyllum impressum,Lithophyllum impressum,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp.,Lithophyllum sp.,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp. 1,Lithophyllum sp. 1,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp.1,Lithophyllum sp. 1,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp. 2,Lithophyllum sp. 2,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp.2,Lithophyllum sp. 2,Lithophyllum,Lithophyllum,Algae,sessile,
Lithophyllum sp.8,Lithophyllum sp. 8,Lithophyllum,Lithophyllum,Algae,sessile,
Lithothamnion glaciale,Lithothamnion glaciale,,Lithothamnion glaciale,Algae,sessile,
Lithothamnion phymatodeon,Lithothamnion phymatodeum,,Lithothamnion phymatodeum,Algae,sessile,
Lithothamnion phymatodeum,Lithothamnion phymatodeum,,Lithothamnion phymatodeum,Algae,sessile,
Littorina scutulata,Littorina scutulata,,Littorina scutulata,Animal,motile,
Littorina,Littorina sp.,,Littorina sp.,Animal,motile,
Littorine snails,Littorina sp.,,Littorina sp.,Animal,motile,
Littornia,Littorina sp.,,Littorina sp.,Animal,motile,
Lomentaria hakodatensis,Lomentaria hakodatensis,,Lomentaria hakodatensis,Algae,sessile,
Lophopanopeus bellusopeus bellusopeus bellusopeus bellus,Lophopanopeus bellusopeus,,Lophopanopeus bellusopeus,Animal,motile,
Lottia,Lottia sp.,,Lottia sp.,Animal,motile,
Lottia spp,Lottia sp.,,Lottia sp.,Animal,motile,
Macrocystis pyrifera,Macrocystis pyrifera,,Macrocystis pyrifera,Algae,sessile,
Mastocarpus agardhii,Mastocarpus agardhii,,Mastocarpus agardhii,Algae,sessile,"M. agardhii is distinct from others, but we will have to do something with these!!"
Mastocarpus alaskensis,Mastocarpus alaskensis,,Mastocarpus alaskensis,Algae,sessile,REVISIT
Mastocarpus intermedius,Mastocarpus intermedius,,Mastocarpus intermedius,Algae,sessile,REVISIT
Mastocarpus latissimus,Mastocarpus latissimus,,Mastocarpus latissimus,Algae,sessile,REVISIT
Mazzaella latissimus,Mastocarpus latissimus,,Mastocarpus latissimus,Algae,sessile,REVISIT
Mastocarpus pachenicus,Mastocarpus pachenicus,,Mastocarpus pachenicus,Algae,sessile,REVISIT
Mastocarpus rigidus,Mastocarpus rigidus,,Mastocarpus rigidus,Algae,sessile,REVISIT
Mastocarpus sp,Mastocarpus sp,,Mastocarpus sp,Algae,sessile,REVISIT
Mastocarpus sp.,Mastocarpus sp,,Mastocarpus sp,Algae,sessile,REVISIT
Mastocarpus spp,Mastocarpus sp,,Mastocarpus sp,Algae,sessile,REVISIT
Mazzaella oregona,Mazzaella oregona,,Mazzaella oregona,Algae,sessile,
Mazzaella cf. parksii,Mazzaella parksii,,Mazzaella parksii,Algae,sessile,
Mazzaella parksii,Mazzaella parksii,,Mazzaella parksii,Algae,sessile,
Mazzaella cf. parvula,Mazzaella parvula,,Mazzaella parvula,Algae,sessile,
Mazzaella parvula,Mazzaella parvula,,Mazzaella parvula,Algae,sessile,
Mazzaella rigidus,Mazzaella rigidus,,Mazzaella rigidus,Algae,sessile,
Mazzaella splendens,Mazzaella splendens,,Mazzaella splendens,Algae,sessile,
Melanosiphon intestinalis,Melanosiphon intestinalis,,Melanosiphon intestinalis,Algae,sessile,
Melobesia,Melobesia sp.,,Melobesia sp.,Algae,sessile,
Melobesia mediocris,Melobesia sp.,,Melobesia sp.,Algae,sessile,
Melobesia sp,Melobesia sp.,,Melobesia sp.,Algae,sessile,
Red urchin,Mesocentrotus franciscanus,,Mesocentrotus franciscanus,Animal,motile,
Mesophyllum vancouveriense,Mesophyllum vancouveriense,,Mesophyllum vancouveriense,Algae,sessile,
Microcladia borealis,Microcladia borealis,,Microcladia borealis,Algae,sessile,
Monostroma grevillei,Monostroma grevillei,,Monostroma grevillei,Algae,sessile,
Mopalia,Mopalia sp.,,Mopalia sp.,Animal,motile,
Mysid,Mysid,,Mysid,Animal,motile,
Mussel,Mytilus sp.,,Mytilus sp.,Animal,sessile,
Mytillus sp.,Mytilus sp.,,Mytilus sp.,Animal,sessile,
Mytilus,Mytilus sp.,,Mytilus sp.,Animal,sessile,
Mytilus trossulus,Mytilus trossulus,,Mytilus trossulus,Animal,sessile,
Nemalion,Nemalion helminthoides,,Nemalion helminthoides,Algae,sessile,
Nemalion helminthoides,Nemalion helminthoides,,Nemalion helminthoides,Algae,sessile,
Nemertean,Nemertea,,Nemertea,Animal,motile,
Nemertean worm,Nemertea,,Nemertea,Animal,motile,
Agarum fimbriatum,Neoagarum fimbriatum,,Neoagarum fimbriatum,Algae,sessile,
Neodilsea borealis,Neodilsea borealis,,Neodilsea borealis,Algae,sessile,
Neodilsia borealis,Neodilsea borealis,,Neodilsea borealis,Algae,sessile,
Neogastroclonium subarticulatum,Neogastroclonium subarticulatum,,Neogastroclonium subarticulatum,Algae,sessile,
Clathromorphum Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,,Neopolyporolithon reclinatum,Algae,sessile,
Clathromorphum reclinatum,Neopolyporolithon reclinatum,,Neopolyporolithon reclinatum,Algae,sessile,
Clathromorphum reclunatum,Neopolyporolithon reclinatum,,Neopolyporolithon reclinatum,Algae,sessile,
Neopolyporolithon reclinatum,Neopolyporolithon reclinatum,,Neopolyporolithon reclinatum,Algae,sessile,
Neorhodomela aculeata,Neorhodomela aculeata,,Neorhodomela aculeata,Algae,sessile,
